id_siniestro,id_poliza,fecha_siniestro,monto_siniestro,estado,motivo_rechazo
135,24992,,302.32,Abierto,fecha_invalida
136,9670,,6040.15,Cerrado,fecha_invalida
137,23959,,13295.74,Cerrado,fecha_invalida
138,22384,,9051.84,Abierto,fecha_invalida
139,21305,,12134.64,Rechazado,fecha_invalida
140,21427,,12522.96,Abierto,fecha_invalida
141,25512,,8366.08,Abierto,fecha_invalida
142,14587,,,Abierto,"fecha_invalida,monto_invalido"
143,2790,2025-10-13,,Rechazado,monto_invalido
144,7956,,8822.7,Abierto,fecha_invalida
145,5744,,3902.65,Abierto,fecha_invalida
147,3192,,9549.21,Cerrado,fecha_invalida
148,9556,,,Cerrado,"fecha_invalida,monto_invalido"
149,9146,,2981.78,Abierto,fecha_invalida
151,2464,,3627.56,Cerrado,fecha_invalida
153,7402,,,Abierto,"fecha_invalida,monto_invalido"
154,11333,,,No especificado,"fecha_invalida,monto_invalido"
155,17654,,13419.79,No especificado,fecha_invalida
157,22187,,4984.64,Cerrado,fecha_invalida
158,8637,,12772.25,Rechazado,fecha_invalida
161,12821,,1663.96,No especificado,fecha_invalida
162,17558,,2904.94,Abierto,fecha_invalida
163,3344,,,Cerrado,"fecha_invalida,monto_invalido"
164,3953,,14622.5,Cerrado,fecha_invalida
165,3478,,5989.33,Cerrado,fecha_invalida
166,3400,,11123.38,No especificado,fecha_invalida
167,19661,,5398.38,Cerrado,fecha_invalida
168,6501,,3552.32,Cerrado,fecha_invalida
169,23178,,4944.75,Cerrado,fecha_invalida
170,14794,,,Abierto,"fecha_invalida,monto_invalido"
171,6401,,13258.53,Rechazado,fecha_invalida
172,10449,,3349.56,Abierto,fecha_invalida
174,25761,,9433.77,Rechazado,fecha_invalida
176,14992,,7840.46,Abierto,fecha_invalida
177,15938,,13797.55,No especificado,fecha_invalida
178,22497,,12188.69,Cerrado,fecha_invalida
179,12699,,1452.35,No especificado,fecha_invalida
180,13273,,14255.51,No especificado,fecha_invalida
181,3779,,2915.04,Abierto,fecha_invalida
182,6051,,4083.6,Abierto,fecha_invalida
183,15820,,,Rechazado,"fecha_invalida,monto_invalido"
185,23960,,2485.0,Cerrado,fecha_invalida
186,14257,2026-01-14,,Abierto,monto_invalido
187,17116,,8263.06,Rechazado,fecha_invalida
188,9285,,3554.71,No especificado,fecha_invalida
189,11691,,,Abierto,"fecha_invalida,monto_invalido"
190,15565,,,Abierto,"fecha_invalida,monto_invalido"
193,19056,2025-12-02,,Abierto,monto_invalido
194,13685,,8942.15,Abierto,fecha_invalida
195,3021,,1043.99,Rechazado,fecha_invalida
196,4434,,1158.74,Cerrado,fecha_invalida
197,5812,,12806.56,No especificado,fecha_invalida
198,3833,,9016.27,Rechazado,fecha_invalida
199,15158,,,Abierto,"fecha_invalida,monto_invalido"
201,10253,,,No especificado,"fecha_invalida,monto_invalido"
202,6793,2025-08-30,,Cerrado,monto_invalido
203,21133,,4564.31,Rechazado,fecha_invalida
204,11440,,,Rechazado,"fecha_invalida,monto_invalido"
205,15065,,14726.41,Cerrado,fecha_invalida
207,10666,,10303.63,Abierto,fecha_invalida
208,5006,,4504.93,Cerrado,fecha_invalida
209,16837,,11810.11,No especificado,fecha_invalida
210,14034,,12036.08,Cerrado,fecha_invalida
212,14352,,8847.32,No especificado,fecha_invalida
214,16890,,2780.04,Abierto,fecha_invalida
216,8726,,4346.45,No especificado,fecha_invalida
217,14431,,2510.93,Abierto,fecha_invalida
219,25727,,,Cerrado,"fecha_invalida,monto_invalido"
220,2535,,5001.06,Abierto,fecha_invalida
221,2986,,9139.78,Cerrado,fecha_invalida
222,13632,,14814.18,Cerrado,fecha_invalida
223,2629,,3642.77,No especificado,fecha_invalida
224,19260,,5466.39,Abierto,fecha_invalida
225,19366,,851.04,No especificado,fecha_invalida
226,12950,,2683.64,Cerrado,fecha_invalida
228,9398,,,Abierto,"fecha_invalida,monto_invalido"
229,16087,,5957.36,Cerrado,fecha_invalida
230,19159,,1517.87,Cerrado,fecha_invalida
231,16670,,12582.5,Rechazado,fecha_invalida
232,3014,,9726.96,Cerrado,fecha_invalida
233,11033,,9170.56,Abierto,fecha_invalida
234,16501,,,No especificado,"fecha_invalida,monto_invalido"
235,23798,,10657.43,Abierto,fecha_invalida
236,22678,2025-11-11,,Abierto,monto_invalido
237,24184,,13713.94,No especificado,fecha_invalida
238,19973,,,Rechazado,"fecha_invalida,monto_invalido"
239,22979,,,Cerrado,"fecha_invalida,monto_invalido"
240,15810,,,Rechazado,"fecha_invalida,monto_invalido"
242,10437,,14596.52,Rechazado,fecha_invalida
243,9965,,4275.37,No especificado,fecha_invalida
244,3256,,,Abierto,"fecha_invalida,monto_invalido"
245,5447,,14464.74,Abierto,fecha_invalida
246,11329,,11681.88,Abierto,fecha_invalida
247,23410,,8598.25,No especificado,fecha_invalida
248,11871,,804.82,Cerrado,fecha_invalida
249,18003,,14986.14,No especificado,fecha_invalida
250,2158,,,Abierto,"fecha_invalida,monto_invalido"
251,21022,2025-07-18,,Rechazado,monto_invalido
252,2267,,12762.64,Abierto,fecha_invalida
253,1765,,10785.64,Abierto,fecha_invalida
254,22116,,5059.14,Cerrado,fecha_invalida
256,1939,,7149.72,No especificado,fecha_invalida
257,15563,,7905.89,Cerrado,fecha_invalida
258,7251,,359.56,Abierto,fecha_invalida
259,19809,,10058.57,Cerrado,fecha_invalida
260,17781,,14206.04,No especificado,fecha_invalida
261,9851,,1092.58,Rechazado,fecha_invalida
262,17232,,,Abierto,"fecha_invalida,monto_invalido"
263,6744,,8228.53,Abierto,fecha_invalida
264,13686,,,Abierto,"fecha_invalida,monto_invalido"
265,217,,3763.55,Abierto,fecha_invalida
266,18359,,11326.78,Rechazado,fecha_invalida
267,13995,,6273.55,No especificado,fecha_invalida
268,18702,,5803.93,Abierto,fecha_invalida
269,20302,,12935.03,No especificado,fecha_invalida
270,21104,,8284.25,Abierto,fecha_invalida
271,16423,,12531.38,No especificado,fecha_invalida
272,11306,,6748.93,Abierto,fecha_invalida
273,14467,,2855.89,Abierto,fecha_invalida
274,22521,,6246.09,No especificado,fecha_invalida
275,19524,,10334.68,Abierto,fecha_invalida
276,24025,,12873.15,Cerrado,fecha_invalida
277,4835,,10216.4,No especificado,fecha_invalida
278,12350,,2215.15,No especificado,fecha_invalida
279,8178,,10418.51,Rechazado,fecha_invalida
280,3145,,2935.1,No especificado,fecha_invalida
282,11387,,5370.01,Cerrado,fecha_invalida
283,17276,,8841.01,No especificado,fecha_invalida
284,4685,,11406.08,Abierto,fecha_invalida
285,17418,,5091.35,Abierto,fecha_invalida
286,14149,,7311.29,Abierto,fecha_invalida
287,17519,,2869.86,Rechazado,fecha_invalida
288,19817,,2321.09,Abierto,fecha_invalida
289,2525,,6583.18,Cerrado,fecha_invalida
290,23857,,3302.24,Cerrado,fecha_invalida
291,367,,9606.53,No especificado,fecha_invalida
293,10362,,8077.52,No especificado,fecha_invalida
294,21932,,9926.07,Abierto,fecha_invalida
295,11353,,566.0,Abierto,fecha_invalida
296,2362,2026-01-11,,Rechazado,monto_invalido
297,7821,,3566.43,Cerrado,fecha_invalida
298,6809,,1486.47,No especificado,fecha_invalida
300,13999,,331.95,Abierto,fecha_invalida
301,19710,,1424.02,Cerrado,fecha_invalida
302,22748,,5352.07,No especificado,fecha_invalida
303,1719,,,Abierto,"fecha_invalida,monto_invalido"
304,2036,,8381.86,Cerrado,fecha_invalida
305,13740,,,Abierto,"fecha_invalida,monto_invalido"
306,11979,,3782.57,No especificado,fecha_invalida
307,9896,,9098.49,No especificado,fecha_invalida
309,22223,,11939.28,Cerrado,fecha_invalida
310,18660,,7735.22,No especificado,fecha_invalida
313,12886,,,Abierto,"fecha_invalida,monto_invalido"
314,6169,2025-08-08,,Cerrado,monto_invalido
316,19243,,2098.28,No especificado,fecha_invalida
318,18504,,14001.5,Cerrado,fecha_invalida
319,4709,,,Cerrado,"fecha_invalida,monto_invalido"
320,17508,,8640.45,Abierto,fecha_invalida
321,15003,,4359.69,Abierto,fecha_invalida
322,19178,,10770.63,Abierto,fecha_invalida
323,17082,,11204.61,No especificado,fecha_invalida
327,8526,,13905.74,Rechazado,fecha_invalida
328,19746,,6693.43,Abierto,fecha_invalida
329,23344,,10541.76,Abierto,fecha_invalida
330,13177,2025-03-09,,No especificado,monto_invalido
331,16704,,,No especificado,"fecha_invalida,monto_invalido"
333,21160,,6116.37,Abierto,fecha_invalida
334,12046,,2537.12,Abierto,fecha_invalida
335,12406,,319.52,Cerrado,fecha_invalida
336,23055,2025-12-29,,No especificado,monto_invalido
337,15288,,4485.08,No especificado,fecha_invalida
338,13062,,,No especificado,"fecha_invalida,monto_invalido"
339,8768,,2863.49,Abierto,fecha_invalida
340,4853,,8016.06,Abierto,fecha_invalida
341,21940,,11851.07,No especificado,fecha_invalida
342,5070,,6723.23,No especificado,fecha_invalida
343,25543,,4564.3,Cerrado,fecha_invalida
344,9611,,2147.03,Cerrado,fecha_invalida
345,5702,,10398.23,Abierto,fecha_invalida
346,16953,,14629.39,Cerrado,fecha_invalida
347,18616,,,Cerrado,"fecha_invalida,monto_invalido"
348,3786,,3564.35,No especificado,fecha_invalida
349,18539,,-4684.76,Cerrado,fecha_invalida
351,4779,,,Cerrado,"fecha_invalida,monto_invalido"
353,21230,2025-10-14,,Abierto,monto_invalido
354,23874,,12544.63,Rechazado,fecha_invalida
355,23407,2025-08-09,,Cerrado,monto_invalido
357,3742,,,No especificado,"fecha_invalida,monto_invalido"
359,12112,,2073.55,Abierto,fecha_invalida
360,24056,,7083.76,Rechazado,fecha_invalida
361,16268,,13927.17,Abierto,fecha_invalida
362,18426,,,Abierto,"fecha_invalida,monto_invalido"
363,21311,,9959.61,Abierto,fecha_invalida
365,18228,,13973.16,Cerrado,fecha_invalida
368,14823,,1629.44,Abierto,fecha_invalida
369,15818,,434.28,Abierto,fecha_invalida
370,20114,,5559.03,Abierto,fecha_invalida
372,941,,10846.29,Abierto,fecha_invalida
373,16241,,2754.6,Cerrado,fecha_invalida
374,24381,,,Abierto,"fecha_invalida,monto_invalido"
375,3784,,6278.59,Cerrado,fecha_invalida
377,19938,,-3081.44,Abierto,fecha_invalida
378,4586,,2051.08,Abierto,fecha_invalida
379,19394,,4337.43,Cerrado,fecha_invalida
380,19177,2025-11-20,,No especificado,monto_invalido
381,18189,,,Cerrado,"fecha_invalida,monto_invalido"
382,13149,,5788.34,No especificado,fecha_invalida
383,3726,,,Cerrado,"fecha_invalida,monto_invalido"
385,3696,,2099.51,No especificado,fecha_invalida
386,20394,2026-01-19,,No especificado,monto_invalido
388,8625,,4076.28,No especificado,fecha_invalida
389,21668,,11042.25,Abierto,fecha_invalida
390,840,,10747.46,Abierto,fecha_invalida
391,24690,,5736.62,No especificado,fecha_invalida
392,20920,,1035.65,Cerrado,fecha_invalida
393,19824,,,No especificado,"fecha_invalida,monto_invalido"
396,986,,8896.66,Abierto,fecha_invalida
397,22624,,6819.88,Cerrado,fecha_invalida
398,10478,,7566.63,Abierto,fecha_invalida
399,1386,,1160.69,Abierto,fecha_invalida
401,12559,,,Rechazado,"fecha_invalida,monto_invalido"
403,9469,,3664.72,Cerrado,fecha_invalida
404,4048,,,No especificado,"fecha_invalida,monto_invalido"
405,17081,,13445.95,Abierto,fecha_invalida
406,13593,,1225.41,Cerrado,fecha_invalida
407,15499,,,Abierto,"fecha_invalida,monto_invalido"
408,15018,,13987.17,No especificado,fecha_invalida
409,4598,,14385.55,Abierto,fecha_invalida
410,20008,,908.44,No especificado,fecha_invalida
411,15930,,,Abierto,"fecha_invalida,monto_invalido"
413,15474,,11665.1,Cerrado,fecha_invalida
415,10705,,4372.08,No especificado,fecha_invalida
416,1066,,2268.69,Rechazado,fecha_invalida
417,24940,,11978.74,Abierto,fecha_invalida
418,19027,,,Abierto,"fecha_invalida,monto_invalido"
420,15208,,14567.87,Rechazado,fecha_invalida
421,5615,,9744.9,No especificado,fecha_invalida
422,9973,,5901.69,Abierto,fecha_invalida
423,11261,,,Abierto,"fecha_invalida,monto_invalido"
424,11599,,2656.34,Cerrado,fecha_invalida
425,6477,,11168.31,Abierto,fecha_invalida
426,24821,,9786.35,Cerrado,fecha_invalida
427,19205,,8961.5,No especificado,fecha_invalida
428,20511,,1741.82,No especificado,fecha_invalida
430,9420,,14797.54,Rechazado,fecha_invalida
431,16556,,,Cerrado,"fecha_invalida,monto_invalido"
432,3991,,12934.03,Cerrado,fecha_invalida
433,13660,,4257.18,Rechazado,fecha_invalida
434,9923,,10300.58,Cerrado,fecha_invalida
435,15659,,,No especificado,"fecha_invalida,monto_invalido"
436,4058,,13142.69,No especificado,fecha_invalida
437,23431,,9923.03,Rechazado,fecha_invalida
438,20439,,,Cerrado,"fecha_invalida,monto_invalido"
439,23475,,,No especificado,"fecha_invalida,monto_invalido"
440,16397,,8359.38,Rechazado,fecha_invalida
441,22684,,10554.36,Rechazado,fecha_invalida
442,25876,,147.22,Rechazado,fecha_invalida
444,23715,,2748.13,No especificado,fecha_invalida
445,7801,2025-01-27,,Rechazado,monto_invalido
446,849,,966.15,No especificado,fecha_invalida
448,13756,,8492.99,Cerrado,fecha_invalida
449,10005,,9876.19,Abierto,fecha_invalida
450,18661,,2919.02,Rechazado,fecha_invalida
451,3111,,12498.73,Cerrado,fecha_invalida
454,18671,,14655.73,No especificado,fecha_invalida
455,11674,2025-05-22,,Cerrado,monto_invalido
456,6812,,10457.09,No especificado,fecha_invalida
457,4234,2025-10-22,,Rechazado,monto_invalido
458,22894,,13379.41,No especificado,fecha_invalida
459,19084,,11662.9,No especificado,fecha_invalida
460,9557,,11367.71,No especificado,fecha_invalida
461,9517,,,No especificado,"fecha_invalida,monto_invalido"
462,1370,,2238.16,Rechazado,fecha_invalida
463,1315,,9403.53,Cerrado,fecha_invalida
464,7665,,6095.66,Abierto,fecha_invalida
465,4729,,13763.87,Cerrado,fecha_invalida
466,19556,,929.56,Cerrado,fecha_invalida
467,12477,,12448.85,Cerrado,fecha_invalida
468,7145,,9748.24,Rechazado,fecha_invalida
470,7885,,9856.68,Cerrado,fecha_invalida
472,4686,,7740.48,Abierto,fecha_invalida
474,12213,,,No especificado,"fecha_invalida,monto_invalido"
475,13039,,,No especificado,"fecha_invalida,monto_invalido"
476,4147,,,Rechazado,"fecha_invalida,monto_invalido"
477,23464,,4561.33,Rechazado,fecha_invalida
478,15010,,11687.78,Abierto,fecha_invalida
479,4770,,,Cerrado,"fecha_invalida,monto_invalido"
480,23674,,192.04,No especificado,fecha_invalida
481,5991,,,Rechazado,"fecha_invalida,monto_invalido"
483,1067,,5411.94,No especificado,fecha_invalida
484,10177,,9795.3,Rechazado,fecha_invalida
485,23236,,9341.17,No especificado,fecha_invalida
486,16519,,4527.06,Cerrado,fecha_invalida
488,7922,2025-08-05,,Abierto,monto_invalido
489,6169,,10359.49,Cerrado,fecha_invalida
490,9596,,-6745.26,No especificado,fecha_invalida
491,10798,,11866.01,Cerrado,fecha_invalida
495,3898,,12255.39,No especificado,fecha_invalida
496,9321,,597.85,Abierto,fecha_invalida
497,17866,,5018.42,No especificado,fecha_invalida
498,16934,,6665.81,No especificado,fecha_invalida
500,24173,,6633.52,Rechazado,fecha_invalida
501,1935,,9456.55,Abierto,fecha_invalida
503,13990,,4634.32,Cerrado,fecha_invalida
504,12911,,12735.57,Abierto,fecha_invalida
505,9535,,13921.33,Rechazado,fecha_invalida
506,23610,,,No especificado,"fecha_invalida,monto_invalido"
507,14126,,7410.93,No especificado,fecha_invalida
508,11505,,4336.27,No especificado,fecha_invalida
509,9632,,11512.22,No especificado,fecha_invalida
510,24704,,,Abierto,"fecha_invalida,monto_invalido"
511,9290,,2170.06,No especificado,fecha_invalida
512,25808,,1956.2,Abierto,fecha_invalida
513,19811,,,Abierto,"fecha_invalida,monto_invalido"
514,749,,,Abierto,"fecha_invalida,monto_invalido"
515,7931,,7142.51,Abierto,fecha_invalida
517,19123,,,Rechazado,"fecha_invalida,monto_invalido"
518,5192,,,Cerrado,"fecha_invalida,monto_invalido"
519,2775,,11906.59,Abierto,fecha_invalida
520,17065,,8464.37,Abierto,fecha_invalida
521,2027,,2008.92,Abierto,fecha_invalida
522,8459,,5956.22,Abierto,fecha_invalida
524,3266,,,Abierto,"fecha_invalida,monto_invalido"
525,9683,,4540.67,Cerrado,fecha_invalida
526,6685,,965.71,Cerrado,fecha_invalida
527,17205,,12224.81,Cerrado,fecha_invalida
528,21844,,1897.7,No especificado,fecha_invalida
529,1551,,12584.02,Cerrado,fecha_invalida
531,16681,,,Cerrado,"fecha_invalida,monto_invalido"
532,13554,,10457.23,Rechazado,fecha_invalida
533,1400,,778.9,Abierto,fecha_invalida
534,13893,,2203.47,Abierto,fecha_invalida
535,17558,,775.73,Cerrado,fecha_invalida
536,1687,,8216.35,Abierto,fecha_invalida
537,10763,,6960.69,Cerrado,fecha_invalida
539,15629,,629.03,Abierto,fecha_invalida
540,24874,,6239.3,Rechazado,fecha_invalida
541,17082,,12640.91,No especificado,fecha_invalida
543,22193,,,No especificado,"fecha_invalida,monto_invalido"
544,13123,,8419.73,Abierto,fecha_invalida
545,14630,,965.14,Cerrado,fecha_invalida
546,2269,,6320.76,Cerrado,fecha_invalida
547,18971,,13821.43,Abierto,fecha_invalida
548,320,,6636.52,No especificado,fecha_invalida
549,10771,,-9024.61,Abierto,fecha_invalida
550,25667,,3598.0,Abierto,fecha_invalida
551,21438,,5836.89,Abierto,fecha_invalida
552,2165,,11024.33,Cerrado,fecha_invalida
553,21888,,3112.17,Cerrado,fecha_invalida
554,25784,2025-05-10,,Cerrado,monto_invalido
556,6947,,,Abierto,"fecha_invalida,monto_invalido"
557,6868,,5325.91,Cerrado,fecha_invalida
558,21780,,10753.61,Cerrado,fecha_invalida
559,24920,,,No especificado,"fecha_invalida,monto_invalido"
560,3151,,-1744.2,Abierto,fecha_invalida
561,8177,,3376.64,Cerrado,fecha_invalida
562,15715,,4479.51,Cerrado,fecha_invalida
564,21307,,11816.47,Rechazado,fecha_invalida
565,19612,,,Rechazado,"fecha_invalida,monto_invalido"
566,7229,,8102.59,Rechazado,fecha_invalida
567,21236,,542.33,No especificado,fecha_invalida
568,7634,,,No especificado,"fecha_invalida,monto_invalido"
570,25508,,9919.76,Cerrado,fecha_invalida
571,354,,11624.3,Rechazado,fecha_invalida
573,5994,,8064.22,Cerrado,fecha_invalida
574,21648,2025-06-23,,Cerrado,monto_invalido
575,17032,,6006.23,Cerrado,fecha_invalida
576,20005,,3660.61,Abierto,fecha_invalida
577,9416,,7281.78,Abierto,fecha_invalida
580,21031,,14726.12,Abierto,fecha_invalida
581,17730,,6180.21,No especificado,fecha_invalida
583,15892,,9323.33,Rechazado,fecha_invalida
584,7265,,,No especificado,"fecha_invalida,monto_invalido"
585,2185,,14347.09,Cerrado,fecha_invalida
586,5064,,3427.67,Cerrado,fecha_invalida
587,22918,,2427.43,No especificado,fecha_invalida
588,9780,,12340.44,Abierto,fecha_invalida
589,23761,,1722.65,Cerrado,fecha_invalida
590,1390,,5100.16,Cerrado,fecha_invalida
591,24753,,9243.95,Abierto,fecha_invalida
592,11961,,8976.92,No especificado,fecha_invalida
593,25605,,6324.53,No especificado,fecha_invalida
594,24598,,2947.86,Rechazado,fecha_invalida
595,16802,,,Cerrado,"fecha_invalida,monto_invalido"
596,20730,,-13047.91,Abierto,fecha_invalida
597,22326,,11586.97,No especificado,fecha_invalida
598,15220,,263.87,Rechazado,fecha_invalida
599,20491,,567.78,Cerrado,fecha_invalida
600,25582,,13159.89,No especificado,fecha_invalida
601,12091,2025-03-02,,Abierto,monto_invalido
603,17985,,14180.71,Abierto,fecha_invalida
604,1034,,7672.14,No especificado,fecha_invalida
605,24391,,,Cerrado,"fecha_invalida,monto_invalido"
607,7941,,2490.28,No especificado,fecha_invalida
608,24323,,5670.57,Abierto,fecha_invalida
609,13678,,5395.55,Abierto,fecha_invalida
610,22850,,11563.14,Abierto,fecha_invalida
611,17162,,,Abierto,"fecha_invalida,monto_invalido"
612,3316,,,No especificado,"fecha_invalida,monto_invalido"
613,22432,,11453.7,Abierto,fecha_invalida
615,11298,,9282.91,Rechazado,fecha_invalida
616,6056,,5153.3,Abierto,fecha_invalida
617,17670,2025-02-03,,Rechazado,monto_invalido
618,1023,,,Rechazado,"fecha_invalida,monto_invalido"
619,3397,,10501.36,Abierto,fecha_invalida
621,2841,,5695.4,No especificado,fecha_invalida
622,1623,,8782.83,No especificado,fecha_invalida
623,10760,,14910.95,No especificado,fecha_invalida
624,11022,,13436.62,Cerrado,fecha_invalida
625,24203,2025-06-21,,Rechazado,monto_invalido
626,22538,,4677.56,Abierto,fecha_invalida
627,471,,6150.14,Rechazado,fecha_invalida
628,23681,,,No especificado,"fecha_invalida,monto_invalido"
629,9818,2025-11-08,,Abierto,monto_invalido
631,3214,,14084.12,Rechazado,fecha_invalida
633,5243,,1215.3,Rechazado,fecha_invalida
634,18267,,6524.1,No especificado,fecha_invalida
635,13335,,2689.49,Cerrado,fecha_invalida
636,22410,2025-02-21,,No especificado,monto_invalido
637,22494,,8852.96,Abierto,fecha_invalida
638,19539,,10177.49,Abierto,fecha_invalida
639,10248,,1516.11,No especificado,fecha_invalida
640,13475,,12933.19,Abierto,fecha_invalida
641,21496,,8941.22,Abierto,fecha_invalida
643,4604,,13596.15,Cerrado,fecha_invalida
644,21088,,5253.85,No especificado,fecha_invalida
645,11915,,8814.08,Cerrado,fecha_invalida
646,4770,,5803.73,Abierto,fecha_invalida
647,22110,,,Cerrado,"fecha_invalida,monto_invalido"
648,4252,,7226.64,Abierto,fecha_invalida
649,12061,,8161.32,Abierto,fecha_invalida
650,24671,,6124.17,Rechazado,fecha_invalida
651,16433,,10165.98,No especificado,fecha_invalida
