id_poliza,fecha_emision,id_cliente,id_corredor,id_aseguradora,id_tipo_seguro,prima,comision,monto_asegurado,motivo_rechazo
91,,2778,14,3,1,158.84,26.5,9146.22,fecha_invalida
92,,2659,25,11,4,,325.08,191582.82,"fecha_invalida,prima_invalida"
93,,919,4,8,2,361.25,84.51,9964.1,fecha_invalida
94,,222,41,5,10,1141.34,169.15,,"fecha_invalida,monto_invalido"
95,,106,11,3,7,1953.28,313.86,356037.27,fecha_invalida
96,,1708,3,11,7,1777.93,,176358.08,"fecha_invalida,comision_invalida"
97,,2027,71,15,9,558.7,77.27,92679.07,fecha_invalida
98,,2106,65,10,8,1909.32,153.95,143459.97,fecha_invalida
100,,2627,52,7,5,1998.94,487.51,,"fecha_invalida,monto_invalido"
101,,976,48,11,11,,125.52,93713.3,"fecha_invalida,prima_invalida"
102,,5,66,13,12,1386.05,204.0,251864.93,fecha_invalida
103,,927,29,7,9,1179.01,231.56,150298.39,fecha_invalida
105,,2797,80,3,1,209.72,52.0,,"fecha_invalida,monto_invalido"
106,,2438,58,12,5,546.09,110.32,44986.21,fecha_invalida
107,,1165,15,6,12,,50.04,87472.59,"fecha_invalida,prima_invalida"
108,,1620,74,13,11,1235.45,155.5,50330.02,fecha_invalida
109,,2693,6,13,6,,184.48,96331.45,"fecha_invalida,prima_invalida"
110,,185,46,8,5,,31.43,74435.27,"fecha_invalida,prima_invalida"
111,,2833,8,15,12,,222.8,185637.48,"fecha_invalida,prima_invalida"
112,,1463,74,7,2,1025.16,94.24,171583.25,fecha_invalida
113,2025-12-03,1715,34,3,6,,,,"prima_invalida,comision_invalida,monto_invalido"
114,,1155,61,11,5,1237.26,,124263.17,"fecha_invalida,comision_invalida"
115,,739,11,5,7,203.12,17.6,,"fecha_invalida,monto_invalido"
116,,2659,80,8,10,1986.64,307.82,376125.57,fecha_invalida
117,,2501,18,12,10,,2636.59,188099.37,"fecha_invalida,prima_invalida"
118,,2114,78,1,2,348.72,36.88,68328.79,fecha_invalida
119,,1678,71,13,7,,,58628.84,"fecha_invalida,prima_invalida,comision_invalida"
120,,419,49,1,3,1427.78,,265973.38,"fecha_invalida,comision_invalida"
121,,1222,59,14,6,,,141963.43,"fecha_invalida,prima_invalida,comision_invalida"
122,2025-08-02,318,41,12,5,726.1,161.45,,monto_invalido
123,2025-09-25,721,44,3,2,1879.38,437.85,,monto_invalido
124,,2155,40,3,9,1027.93,83.53,,"fecha_invalida,monto_invalido"
125,,1886,12,13,12,1521.54,127.08,234686.27,fecha_invalida
126,,1595,18,7,9,,291.84,,"fecha_invalida,prima_invalida,monto_invalido"
127,,1793,11,12,1,843.06,154.42,51393.0,fecha_invalida
128,,711,25,11,3,,379.89,175091.88,"fecha_invalida,prima_invalida"
129,,1894,29,12,11,1354.93,102.04,161419.79,fecha_invalida
130,,1384,38,15,7,1066.35,208.25,155755.8,fecha_invalida
131,,1953,72,9,2,751.39,,101267.63,"fecha_invalida,comision_invalida"
132,2025-05-23,2110,34,12,11,890.91,177.49,,monto_invalido
133,,1793,4,1,11,1705.58,389.27,107532.29,fecha_invalida
134,,1690,4,11,9,1209.55,,42728.3,"fecha_invalida,comision_invalida"
135,,1540,19,9,4,533.11,71.9,70594.31,fecha_invalida
136,,1873,36,14,4,685.85,97.17,,"fecha_invalida,monto_invalido"
137,,2544,48,8,12,1837.21,337.23,134569.61,fecha_invalida
138,,984,50,3,10,,95.54,58320.88,"fecha_invalida,prima_invalida"
139,,2715,47,3,1,1887.69,,300624.49,"fecha_invalida,comision_invalida"
141,,2101,71,3,5,1904.59,167.05,287937.3,fecha_invalida
142,,821,56,4,5,1305.77,272.72,31298.47,fecha_invalida
143,,2342,41,10,10,169.2,9.37,31558.02,fecha_invalida
144,,354,71,15,10,219.57,53.42,8891.18,fecha_invalida
145,,2461,80,7,12,393.01,55.94,,"fecha_invalida,monto_invalido"
146,2025-12-23,2899,27,9,2,,,143545.57,"prima_invalida,comision_invalida"
147,,1556,53,5,6,357.68,26.25,,"fecha_invalida,monto_invalido"
148,,848,13,8,3,505.33,68.83,88566.14,fecha_invalida
149,,892,71,15,10,229.87,16.79,25541.31,fecha_invalida
150,,1080,76,6,7,104.24,15.49,6890.09,fecha_invalida
151,,927,10,14,7,1524.01,139.89,138665.57,fecha_invalida
152,,2349,79,7,4,0.0,,17302.97,"fecha_invalida,comision_invalida"
153,,1016,28,12,8,165.57,24.61,,"fecha_invalida,monto_invalido"
154,2025-04-12,1023,24,4,5,,,73105.67,"prima_invalida,comision_invalida"
155,,1918,43,10,12,,9.96,3222.28,"fecha_invalida,prima_invalida"
156,,462,28,10,2,1793.62,,288252.92,"fecha_invalida,comision_invalida"
157,,2910,63,4,7,1762.17,,96305.3,"fecha_invalida,comision_invalida"
158,,1121,67,7,12,985.24,189.5,,"fecha_invalida,monto_invalido"
160,,1554,9,2,7,1101.08,81.1,82850.58,fecha_invalida
161,,1392,35,7,6,1824.05,155.21,167233.6,fecha_invalida
162,,1094,4,4,5,1760.71,326.32,235475.6,fecha_invalida
163,,354,12,10,7,1304.88,101.17,142724.83,fecha_invalida
165,,2934,78,10,2,842.46,196.92,,"fecha_invalida,monto_invalido"
167,,743,77,6,5,605.91,121.04,58769.89,fecha_invalida
168,,691,65,1,1,268.88,65.44,,"fecha_invalida,monto_invalido"
169,,1166,41,10,3,,93.67,84578.57,"fecha_invalida,prima_invalida"
170,,2800,6,1,2,917.66,131.25,177908.61,fecha_invalida
171,,2320,39,9,5,225.23,,16197.54,"fecha_invalida,comision_invalida"
172,,693,69,13,8,1440.24,319.57,199499.58,fecha_invalida
173,,1935,13,14,2,,116.08,128228.92,"fecha_invalida,prima_invalida"
174,,9,63,12,10,,70.76,11842.93,"fecha_invalida,prima_invalida"
175,,2362,59,6,5,386.3,78.61,68440.5,fecha_invalida
176,,2956,62,5,9,-1365.65,333.57,149134.25,fecha_invalida
177,,355,72,14,1,1123.67,,56048.07,"fecha_invalida,comision_invalida"
178,,833,71,4,10,1310.85,160.19,41123.88,fecha_invalida
179,,2432,3,8,1,,240.54,260639.14,"fecha_invalida,prima_invalida"
180,,2894,5,10,9,507.43,,64390.94,"fecha_invalida,comision_invalida"
181,,1945,37,11,5,,210.72,,"fecha_invalida,prima_invalida,monto_invalido"
182,,1953,74,6,1,1725.25,,94698.24,"fecha_invalida,comision_invalida"
183,,513,50,11,5,723.36,174.04,62801.44,fecha_invalida
184,,1373,12,7,9,,128.95,49518.48,"fecha_invalida,prima_invalida"
186,,2129,30,8,3,1795.66,388.9,298913.7,fecha_invalida
187,,2226,75,5,3,1327.21,,240624.13,"fecha_invalida,comision_invalida"
188,,1151,47,7,11,,102.66,130925.71,"fecha_invalida,prima_invalida"
189,,1725,74,11,7,1103.69,252.45,151711.76,fecha_invalida
190,2025-12-07,2854,70,13,4,953.96,,93787.36,comision_invalida
192,,1525,3,4,3,234.48,35.63,36663.52,fecha_invalida
193,,1786,56,15,12,1316.23,,,"fecha_invalida,comision_invalida,monto_invalido"
194,,583,72,10,6,1462.11,99.14,221551.14,fecha_invalida
195,,1641,31,15,11,911.44,,129241.82,"fecha_invalida,comision_invalida"
196,,1172,54,6,7,1568.46,283.24,87378.2,fecha_invalida
197,,1558,49,4,11,1498.66,,228469.92,"fecha_invalida,comision_invalida"
198,,876,77,2,7,1351.69,68.96,50400.3,fecha_invalida
199,,1268,39,15,8,1558.42,251.72,191348.34,fecha_invalida
201,,2011,32,12,5,,209.81,147542.55,"fecha_invalida,prima_invalida"
202,,2346,4,11,6,,,159867.32,"fecha_invalida,prima_invalida,comision_invalida"
203,,1121,32,14,5,741.78,127.03,,"fecha_invalida,monto_invalido"
205,,419,46,7,1,1653.96,249.55,51983.28,fecha_invalida
206,,241,28,8,7,556.14,58.53,54199.33,fecha_invalida
207,,974,74,14,11,839.87,94.57,69882.74,fecha_invalida
208,,3614,78,4,4,472.52,36.01,,"fecha_invalida,monto_invalido"
209,2026-02-07,1974,25,13,9,72.55,18.01,,monto_invalido
210,,2680,12,10,5,,,,"fecha_invalida,prima_invalida,comision_invalida,monto_invalido"
211,,1795,11,9,7,,237.61,171128.94,"fecha_invalida,prima_invalida"
212,,2876,13,10,7,213.27,,12711.02,"fecha_invalida,comision_invalida"
213,,214,28,8,11,192.43,45.37,21029.68,fecha_invalida
214,,743,54,13,12,306.05,17.31,18766.83,fecha_invalida
215,2025-02-26,483,71,7,1,,104.78,58056.65,prima_invalida
216,,1330,46,10,12,,,,"fecha_invalida,prima_invalida,comision_invalida,monto_invalido"
217,,432,3,15,10,1422.59,251.31,174594.04,fecha_invalida
218,,3630,1,9,2,,88.01,,"fecha_invalida,prima_invalida,monto_invalido"
219,,1052,5,13,9,,176.78,205287.05,"fecha_invalida,prima_invalida"
220,,1871,34,6,7,,144.19,127817.41,"fecha_invalida,prima_invalida"
222,,1600,78,2,10,1622.52,144.49,60407.59,fecha_invalida
223,,1312,75,15,1,312.76,,44896.28,"fecha_invalida,comision_invalida"
224,,777,40,10,9,298.58,63.17,27470.47,fecha_invalida
225,,645,64,12,8,1651.96,180.18,80061.7,fecha_invalida
226,,832,44,3,6,1664.22,213.11,43423.44,fecha_invalida
227,,232,44,13,3,66.1,8.06,10033.13,fecha_invalida
228,,2555,30,5,11,341.36,395.85,51411.63,fecha_invalida
229,,2625,10,5,1,1624.52,,263502.43,"fecha_invalida,comision_invalida"
230,2025-12-19,1245,6,13,3,238.5,,44718.94,comision_invalida
231,,2790,73,7,3,1729.95,,161771.05,"fecha_invalida,comision_invalida"
232,,1421,17,7,4,1546.13,170.23,176385.79,fecha_invalida
233,,2619,42,4,6,277.67,63.81,54034.44,fecha_invalida
234,,2270,68,3,9,,157.51,380748.51,"fecha_invalida,prima_invalida"
235,,2895,65,8,2,,,193621.53,"fecha_invalida,prima_invalida,comision_invalida"
236,,2906,18,7,3,235.8,42.67,25121.58,fecha_invalida
237,2025-02-11,1137,37,6,3,,268.64,106698.49,prima_invalida
238,,1485,30,4,4,1779.97,368.63,334475.3,fecha_invalida
239,,1236,77,10,8,760.38,,111154.53,"fecha_invalida,comision_invalida"
240,,536,15,6,10,,180.09,79238.61,"fecha_invalida,prima_invalida"
241,,657,22,3,4,,199.83,,"fecha_invalida,prima_invalida,monto_invalido"
242,,1884,61,12,8,548.88,77.84,32829.84,fecha_invalida
243,2025-10-09,634,16,14,3,1585.52,283.81,,monto_invalido
244,,1804,18,7,5,,133.24,81691.01,"fecha_invalida,prima_invalida"
245,,2704,51,1,5,,274.71,41044.61,"fecha_invalida,prima_invalida"
246,,2695,40,14,7,735.39,59.42,,"fecha_invalida,monto_invalido"
247,,924,49,5,11,,131.17,274013.46,"fecha_invalida,prima_invalida"
248,,1011,64,10,4,1846.72,,320537.24,"fecha_invalida,comision_invalida"
249,,1500,73,4,6,,,,"fecha_invalida,prima_invalida,comision_invalida,monto_invalido"
250,,1771,63,14,3,424.38,72.81,,"fecha_invalida,monto_invalido"
251,,1262,68,1,5,601.96,120.32,,"fecha_invalida,monto_invalido"
252,,1575,33,14,8,1422.87,76.42,,"fecha_invalida,monto_invalido"
253,,1563,59,10,10,792.74,145.28,71091.98,fecha_invalida
254,,917,23,1,6,1042.39,132.79,,"fecha_invalida,monto_invalido"
255,,2003,60,1,2,275.48,,,"fecha_invalida,comision_invalida,monto_invalido"
256,,2083,71,12,9,,326.26,,"fecha_invalida,prima_invalida,monto_invalido"
257,,2855,25,14,7,,132.4,17045.13,"fecha_invalida,prima_invalida"
258,,1821,50,7,10,555.6,92.6,37621.89,fecha_invalida
259,,148,17,5,1,1560.57,,170301.72,"fecha_invalida,comision_invalida"
260,2025-01-14,971,57,13,6,595.33,132.98,,monto_invalido
261,,2956,78,2,4,843.81,106.28,165119.46,fecha_invalida
262,,1441,1,12,7,,,,"fecha_invalida,prima_invalida,comision_invalida,monto_invalido"
263,,828,38,15,7,961.19,172.58,65328.26,fecha_invalida
264,,2337,80,8,5,267.35,45.16,43006.11,fecha_invalida
265,,184,62,13,9,264.84,,20928.09,"fecha_invalida,comision_invalida"
266,,1750,12,5,5,469.18,53.62,82199.39,fecha_invalida
267,,761,60,1,12,836.8,,67062.51,"fecha_invalida,comision_invalida"
268,,1635,13,14,4,1161.47,87.66,126085.89,fecha_invalida
269,,1685,65,8,1,0.0,132.5,112445.07,fecha_invalida
270,,168,64,1,8,1079.04,,153797.15,"fecha_invalida,comision_invalida"
271,,1773,43,11,5,1395.69,,101033.61,"fecha_invalida,comision_invalida"
272,,2717,50,13,5,529.12,126.8,,"fecha_invalida,monto_invalido"
273,,2346,41,12,10,470.44,42.33,,"fecha_invalida,monto_invalido"
274,,222,16,12,6,359.96,,49248.02,"fecha_invalida,comision_invalida"
275,,1637,46,5,1,1958.02,109.4,249654.56,fecha_invalida
276,,482,19,14,11,1238.05,,149205.72,"fecha_invalida,comision_invalida"
278,,1832,27,10,9,,150.96,319716.88,"fecha_invalida,prima_invalida"
279,,770,66,14,3,901.35,,39362.62,"fecha_invalida,comision_invalida"
281,,1387,2,14,12,1536.3,234.29,108632.52,fecha_invalida
282,,1190,6,4,6,102.19,24.17,,"fecha_invalida,monto_invalido"
283,,254,65,13,12,311.5,25.08,,"fecha_invalida,monto_invalido"
284,,1163,16,3,4,1052.91,83.89,75727.87,fecha_invalida
286,,631,43,6,10,480.94,110.77,90139.34,fecha_invalida
287,,605,62,7,6,434.82,27.2,30848.23,fecha_invalida
289,,2696,62,12,7,,52.21,143989.06,"fecha_invalida,prima_invalida"
290,,326,61,2,6,,339.8,,"fecha_invalida,prima_invalida,monto_invalido"
291,,281,54,1,9,,,132725.63,"fecha_invalida,prima_invalida,comision_invalida"
292,,1514,27,3,1,365.44,39.1,9478.09,fecha_invalida
293,2025-10-28,175,24,15,1,,,158807.4,"prima_invalida,comision_invalida"
294,,2129,13,13,7,,212.49,100787.99,"fecha_invalida,prima_invalida"
295,,764,52,7,5,987.43,,164812.9,"fecha_invalida,comision_invalida"
296,,1812,77,13,11,,47.2,99611.28,"fecha_invalida,prima_invalida"
297,,1573,79,4,10,1252.38,146.52,45753.53,fecha_invalida
298,,2390,2,14,9,,396.87,,"fecha_invalida,prima_invalida,monto_invalido"
299,,2724,18,5,7,1142.36,88.5,,"fecha_invalida,monto_invalido"
300,,1233,67,6,8,1027.81,61.97,69674.38,fecha_invalida
301,,1579,72,11,1,,18.74,4988.88,"fecha_invalida,prima_invalida"
302,,679,60,1,6,,86.07,83621.21,"fecha_invalida,prima_invalida"
303,,2931,13,14,6,317.71,31.74,11090.61,fecha_invalida
304,,917,41,15,9,673.03,106.8,89286.47,fecha_invalida
305,,2007,76,12,12,142.86,161.2,8185.49,fecha_invalida
306,2025-07-06,619,17,10,2,,129.63,196786.22,prima_invalida
307,,78,24,6,10,1259.85,87.1,50836.92,fecha_invalida
308,,905,6,7,2,71.14,14.24,12910.64,fecha_invalida
309,,980,20,1,5,529.37,91.01,52844.12,fecha_invalida
310,,355,53,6,6,1044.88,139.7,48271.62,fecha_invalida
311,,236,19,8,12,662.47,34.15,,"fecha_invalida,monto_invalido"
312,,1894,10,13,2,1944.37,129.58,,"fecha_invalida,monto_invalido"
313,,2852,30,1,11,1736.83,,122859.35,"fecha_invalida,comision_invalida"
314,,444,68,4,1,,28.88,48398.37,"fecha_invalida,prima_invalida"
315,,282,9,6,12,644.32,97.22,103239.66,fecha_invalida
316,,3776,1,6,8,1431.9,177.07,106644.92,fecha_invalida
317,2025-01-17,2621,19,2,8,70.91,17.25,,monto_invalido
318,,380,58,11,9,779.52,,79294.65,"fecha_invalida,comision_invalida"
319,,2874,9,1,11,726.96,,122532.96,"fecha_invalida,comision_invalida"
320,,2637,64,1,9,1224.21,261.15,183732.97,fecha_invalida
321,,830,48,8,1,1344.7,1724.81,266633.14,fecha_invalida
322,2025-08-19,454,75,11,3,850.81,,166822.37,comision_invalida
323,,2484,29,7,1,1195.89,76.06,83832.92,fecha_invalida
324,,689,68,1,6,,391.8,260739.67,"fecha_invalida,prima_invalida"
325,,531,13,2,10,,126.53,,"fecha_invalida,prima_invalida,monto_invalido"
326,,2429,22,3,1,740.5,,,"fecha_invalida,comision_invalida,monto_invalido"
328,,2035,34,9,8,,201.21,,"fecha_invalida,prima_invalida,monto_invalido"
329,,1584,78,10,10,965.87,,80283.34,"fecha_invalida,comision_invalida"
330,2025-07-15,2011,15,10,2,1158.76,,143147.74,comision_invalida
331,,2628,51,9,3,1055.42,,169845.49,"fecha_invalida,comision_invalida"
332,,2249,63,5,8,1033.15,,124531.25,"fecha_invalida,comision_invalida"
333,,2372,29,2,8,1307.34,198.89,105131.68,fecha_invalida
334,,1976,64,12,8,1572.9,255.61,,"fecha_invalida,monto_invalido"
335,,282,43,8,6,,18.72,20333.48,"fecha_invalida,prima_invalida"
337,2025-07-24,3574,35,4,10,1304.27,136.32,,monto_invalido
339,,2571,76,4,6,924.18,222.4,53440.43,fecha_invalida
340,,1514,51,1,11,230.39,56.57,21695.02,fecha_invalida
341,,14,23,2,4,716.28,71.72,64529.32,fecha_invalida
342,,1132,50,7,1,1840.74,,343602.22,"fecha_invalida,comision_invalida"
343,,1809,74,13,6,261.29,22.99,11502.8,fecha_invalida
344,,1385,52,2,7,1053.46,243.44,85054.56,fecha_invalida
345,2025-08-11,1606,47,12,1,323.93,38.26,,monto_invalido
346,,1529,61,9,3,1153.35,220.03,,"fecha_invalida,monto_invalido"
347,,1108,65,2,5,,13.6,9304.45,"fecha_invalida,prima_invalida"
348,,1317,20,1,2,1666.25,356.84,,"fecha_invalida,monto_invalido"
349,,2133,51,7,6,1267.27,,182975.67,"fecha_invalida,comision_invalida"
350,,1119,74,2,6,423.21,33.82,17124.02,fecha_invalida
351,,2186,22,15,4,615.15,97.58,115731.56,fecha_invalida
352,,335,32,13,3,69.55,5.42,4481.9,fecha_invalida
353,,1274,18,10,12,435.91,108.35,81976.35,fecha_invalida
354,,2871,64,8,3,196.33,27.44,15872.78,fecha_invalida
355,,2758,77,12,8,1934.73,,316696.31,"fecha_invalida,comision_invalida"
356,2025-10-31,729,63,14,7,1517.29,,224140.06,comision_invalida
357,,2655,25,11,11,374.5,81.21,44517.01,fecha_invalida
358,,2665,30,2,9,1247.68,154.02,77789.9,fecha_invalida
359,,3785,8,6,1,,,,"fecha_invalida,prima_invalida,comision_invalida,monto_invalido"
360,2025-04-12,3666,59,7,9,861.49,,36651.44,comision_invalida
361,,702,21,15,6,1186.26,,65607.3,"fecha_invalida,comision_invalida"
362,,2822,46,2,12,1422.8,332.01,35091.58,fecha_invalida
363,,2480,2,14,6,,148.66,160600.88,"fecha_invalida,prima_invalida"
364,,707,28,11,9,268.47,41.13,26697.38,fecha_invalida
365,,2794,41,15,3,1910.72,141.4,348837.15,fecha_invalida
366,,844,31,2,1,1992.81,300.46,97957.19,fecha_invalida
367,,2182,13,9,1,524.74,70.05,62174.08,fecha_invalida
368,,2229,12,8,1,312.7,32.01,,"fecha_invalida,monto_invalido"
369,,1959,2,4,11,300.3,16.25,16152.36,fecha_invalida
370,,185,3,5,7,53.79,2.82,3905.87,fecha_invalida
371,,602,17,11,4,,,,"fecha_invalida,prima_invalida,comision_invalida,monto_invalido"
372,2026-01-02,2269,59,8,7,,,84920.53,"prima_invalida,comision_invalida"
373,,1870,21,1,5,1038.02,98.58,72125.71,fecha_invalida
374,,465,69,9,11,109.71,26.59,13623.02,fecha_invalida
375,,1358,80,4,10,,63.4,,"fecha_invalida,prima_invalida,monto_invalido"
376,,3527,73,6,5,110.64,14.62,12500.24,fecha_invalida
377,,2290,36,3,1,1389.23,,,"fecha_invalida,comision_invalida,monto_invalido"
378,,1868,60,12,9,1755.33,276.66,288662.01,fecha_invalida
379,,573,2,15,5,92.25,18.56,,"fecha_invalida,monto_invalido"
380,,1145,13,15,1,1907.5,471.37,227662.64,fecha_invalida
381,,243,34,10,9,858.13,57.01,141537.21,fecha_invalida
382,,1204,29,13,1,,73.38,163339.83,"fecha_invalida,prima_invalida"
383,,234,34,13,4,,73.81,108825.24,"fecha_invalida,prima_invalida"
384,,1158,68,2,2,1861.73,346.31,57069.12,fecha_invalida
385,,2090,16,3,8,766.05,50.66,127959.71,fecha_invalida
386,,117,43,4,7,,21.8,43701.61,"fecha_invalida,prima_invalida"
387,,48,63,2,4,1487.16,267.57,84325.7,fecha_invalida
388,2025-12-01,1001,47,14,4,,,87870.06,"prima_invalida,comision_invalida"
389,,581,53,13,12,216.28,,,"fecha_invalida,comision_invalida,monto_invalido"
390,,2187,14,5,10,1182.03,,89798.89,"fecha_invalida,comision_invalida"
391,,2575,43,15,11,,59.01,30926.4,"fecha_invalida,prima_invalida"
392,,1062,38,15,3,,79.4,109425.04,"fecha_invalida,prima_invalida"
393,,1157,7,1,7,66.98,10.96,11874.36,fecha_invalida
394,,1895,76,4,9,735.69,132.66,53150.39,fecha_invalida
395,,1038,46,12,4,1225.95,71.97,191272.59,fecha_invalida
396,,588,51,3,6,1353.44,309.33,,"fecha_invalida,monto_invalido"
397,,2761,77,9,9,,,26510.38,"fecha_invalida,prima_invalida,comision_invalida"
398,,1255,78,12,12,1796.91,345.46,150449.96,fecha_invalida
399,,2988,14,9,4,308.81,24.4,44128.8,fecha_invalida
400,,1674,35,12,1,1544.57,,42133.22,"fecha_invalida,comision_invalida"
401,,1435,1,3,12,1745.43,,260632.03,"fecha_invalida,comision_invalida"
402,,1721,63,8,5,405.99,71.04,,"fecha_invalida,monto_invalido"
403,,1714,75,3,2,,,45428.93,"fecha_invalida,prima_invalida,comision_invalida"
404,,1407,28,14,8,,42.22,19368.57,"fecha_invalida,prima_invalida"
405,,2328,47,1,8,1264.26,275.94,131575.43,fecha_invalida
