id_poliza,fecha_emision,id_cliente,id_corredor,id_aseguradora,id_tipo_seguro,prima,comision,monto_asegurado
549,2025-03-01,2373,37,2,3,1292.38,72.55,114912.08
557,2025-02-23,863,14,10,9,670.02,110.59,73438.18
560,2026-01-08,2145,74,6,2,0.0,369.91,304333.91
566,2025-02-18,2845,40,6,4,932.58,189.41,78318.01
577,2025-08-07,2064,75,12,7,1325.78,90.78,61776.9
596,2025-01-04,2287,14,9,1,426.27,65.37,24692.57
599,2025-04-28,2512,29,1,4,1914.82,387.89,161651.62
606,2025-09-09,2303,80,11,9,1042.34,242.2,51730.17
610,2026-01-19,1252,20,8,4,1498.15,152.4,188713.37
619,2025-06-16,960,23,5,3,1273.06,229.64,183943.29
635,2025-04-26,95,61,3,5,1792.02,440.47,214083.88
637,2025-12-12,2618,61,9,9,738.1,1128.07,82512.43
638,2025-08-12,2820,21,3,4,857.92,83.38,141656.39
642,2025-06-01,7,71,4,9,538.13,623.94,92726.9
646,2025-05-07,1510,65,13,10,656.59,131.69,19747.59
671,2025-01-26,2212,62,6,7,1493.07,319.17,283016.51
672,2025-10-15,2629,72,15,11,1656.21,243.95,179745.23
675,2025-01-05,1309,1,5,8,304.6,40.62,40321.87
679,2025-04-24,2080,36,9,8,916.53,116.12,152755.89
698,2025-11-29,1427,65,1,11,489.27,88.6,28382.47
700,2026-01-30,167,5,5,6,0.0,107.12,68413.82
706,2025-05-26,1414,65,12,11,329.7,76.02,31168.43
720,2025-08-07,2627,13,13,4,707.83,170.65,30130.25
726,2026-01-30,1507,38,4,11,216.37,34.06,34994.41
733,2025-04-26,1495,77,6,2,970.09,132.36,82527.5
740,2025-12-07,2140,12,8,3,107.75,10.65,8320.69
752,2026-01-12,2688,7,7,9,1608.17,109.04,67692.48
755,2025-12-13,1268,20,1,10,542.63,30.9,68862.65
773,2025-02-13,1516,42,7,8,1605.25,170.35,195063.2
781,2025-11-20,521,35,12,11,1377.36,280.27,258994.33
783,2026-02-14,2061,64,9,1,1305.84,189.76,83446.95
785,2025-08-10,1742,52,13,1,1399.54,92.82,58344.65
801,2025-07-25,649,46,1,6,737.38,60.16,73614.54
803,2025-09-17,1998,62,5,8,1587.48,2167.83,207934.12
819,2025-03-04,1881,11,6,1,107.13,15.95,2410.69
860,2025-07-19,2608,5,10,7,197.16,33.71,5230.01
879,2025-02-25,2781,76,9,11,487.84,73.85,41572.74
882,2025-07-14,1478,7,3,2,1615.12,339.75,260779.28
893,2025-06-14,835,38,3,9,1213.0,291.35,179137.64
896,2025-02-05,610,20,10,9,477.03,72.81,74022.02
900,2025-08-04,1336,8,10,5,1356.71,113.33,225001.5
906,2025-04-12,343,47,2,12,1583.43,353.06,57993.95
955,2025-04-03,1676,30,3,12,977.94,81.64,66113.44
966,2025-12-04,2375,24,6,12,1032.51,103.06,193961.45
997,2025-12-21,1248,51,14,4,229.38,56.54,36697.87
998,2025-04-30,928,72,7,4,1592.68,117.66,34820.96
1003,2025-02-17,2670,23,8,8,1637.64,320.4,280930.95
1008,2025-04-03,1405,56,3,9,-1353.29,182.11,209259.39
1014,2025-09-16,1236,78,8,6,799.9,95.2,149053.6
1015,2025-01-16,2369,45,2,9,1033.94,124.79,103482.49
1016,2026-01-07,2088,32,10,8,1060.94,55.62,184294.87
1028,2026-01-29,2004,78,2,1,1645.76,332.76,245058.91
1030,2025-07-21,1920,45,6,5,921.01,83.32,135943.27
1032,2026-02-05,1058,71,15,11,1978.63,104.08,356202.51
1038,2025-11-26,400,80,10,7,1470.37,259.13,88295.75
1044,2025-05-16,2156,20,7,3,904.25,209.02,54421.46
1065,2025-12-03,2527,17,6,6,1989.19,459.36,311684.97
1068,2025-09-06,1184,59,7,4,1907.66,460.53,362277.16
1091,2025-06-05,1032,59,15,6,101.14,14.26,7750.81
1099,2025-08-29,2966,21,7,2,1005.27,237.75,161375.41
1156,2025-01-31,1585,9,5,7,107.49,15.96,7081.97
1162,2025-08-17,256,35,14,4,1047.31,121.73,157185.5
1171,2025-04-03,272,72,2,10,699.83,97.22,112528.33
1184,2025-01-10,2557,50,5,4,1236.51,151.82,212721.14
1197,2025-04-24,2247,25,7,9,649.49,70.59,48913.59
1205,2025-08-07,218,40,10,8,829.03,196.49,87169.07
1214,2025-10-03,2147,10,7,2,1075.86,212.98,160338.16
1217,2025-01-11,292,63,4,2,1563.64,160.18,73871.74
1276,2026-02-10,218,72,3,5,223.93,13.04,21497.96
1282,2025-11-07,182,77,11,1,1327.05,231.46,113779.99
1290,2025-10-15,726,80,6,7,1876.63,243.12,59128.32
1369,2025-11-06,2599,20,11,1,1947.73,2417.69,333898.58
1373,2025-09-07,923,18,13,1,1370.8,160.63,167038.57
1382,2025-03-04,2010,31,11,4,761.44,67.94,34700.69
1383,2025-10-11,2030,71,8,2,942.34,60.02,73746.03
1395,2025-01-04,22,9,9,11,1388.48,71.57,156142.96
1410,2025-09-13,2934,80,8,9,1120.76,277.51,92953.74
1444,2025-01-04,224,4,7,10,1724.41,398.29,246822.17
1449,2025-05-01,31,24,9,5,160.0,12.62,17670.8
1454,2025-09-06,2203,74,4,8,1167.22,284.19,145966.4
1463,2025-08-06,1776,47,10,10,1784.43,309.88,50319.13
1480,2025-03-22,1914,33,15,1,1416.28,96.23,195234.95
1500,2025-10-07,2369,43,9,7,1239.16,212.62,245302.03
1537,2025-12-09,3821,6,6,2,74.62,15.94,11459.21
1569,2025-08-18,2326,31,5,7,1099.41,82.99,151116.55
1588,2025-05-19,844,12,15,3,1376.68,310.93,64519.62
1604,2025-11-03,354,16,9,7,367.22,72.1,40366.29
1606,2026-01-31,1387,59,6,2,1896.52,175.23,211678.11
1624,2025-10-03,1738,48,14,10,927.34,169.45,71920.47
1628,2025-06-20,2048,51,10,4,157.56,24.35,9256.94
1642,2025-02-25,574,66,13,12,1824.72,168.57,326778.47
1654,2026-01-28,591,26,11,6,1373.54,203.59,47744.18
1670,2025-10-29,690,50,13,7,611.72,123.84,104283.13
1684,2025-02-18,2231,48,4,4,270.73,17.73,25082.98
1685,2025-12-18,437,66,5,9,1870.58,410.98,117463.94
1686,2025-09-24,1913,9,7,7,428.51,73.83,64001.48
1691,2025-02-16,1649,50,5,4,1976.69,360.58,108066.89
1713,2025-03-25,413,51,13,12,1487.63,344.03,238195.71
1761,2025-07-20,2286,50,8,10,-1552.88,309.24,66184.0
1775,2025-06-17,2921,52,1,12,310.84,67.6,19315.0
1782,2025-03-18,1937,59,1,2,1864.27,221.58,354074.1
1788,2026-02-03,1696,45,1,3,1734.03,297.88,126757.4
1794,2025-07-04,1501,46,11,11,1967.46,125.14,62858.57
1800,2025-07-14,1029,67,11,8,326.35,32.0,51097.71
1832,2025-12-23,662,77,7,8,1019.78,151.25,78262.43
1833,2025-08-03,1639,30,4,5,410.3,62.54,10767.82
1843,2026-02-15,2054,73,11,4,1317.01,73.74,53666.7
1848,2025-03-16,1900,19,4,6,321.51,33.46,62202.18
1868,2026-02-11,2906,70,11,2,163.19,11.21,31636.45
1871,2026-01-24,1159,62,4,1,1784.93,385.11,215267.86
1883,2025-06-25,157,6,3,3,1143.24,275.09,77884.13
1884,2025-06-27,333,72,15,11,124.17,26.92,20466.14
1891,2025-04-26,588,63,2,5,792.65,94.91,57831.15
1894,2025-01-13,1335,12,5,4,1335.82,206.24,68993.54
1900,2025-02-27,741,13,5,7,525.73,78.76,71917.4
1912,2025-01-05,2668,72,5,2,1433.21,344.96,88369.28
1926,2025-08-28,2109,41,9,1,419.3,29.39,57025.51
1928,2025-09-21,14,4,5,2,549.57,132.34,30152.71
1929,2026-02-06,33,34,13,3,1889.05,402.01,354610.2
1942,2025-01-25,1415,17,2,10,-1076.43,186.76,57824.4
1943,2025-01-11,667,75,4,4,445.54,56.8,81602.05
1945,2025-03-30,1992,36,3,3,239.51,44.15,9622.16
1946,2025-12-13,1224,53,12,2,85.68,16.13,7710.95
1959,2025-03-28,1978,66,5,12,190.64,41.81,26704.85
1977,2025-07-26,884,77,15,2,818.87,144.4,107688.27
1985,2025-06-06,2629,15,5,5,314.28,19.25,35000.73
1991,2025-07-17,366,77,7,3,220.74,18.55,43252.05
2000,2025-08-09,1491,73,13,6,1181.87,133.77,29112.33
2002,2025-02-17,1583,61,3,8,154.29,12.19,11208.34
2010,2025-12-15,552,44,5,8,1735.07,424.5,137950.79
2022,2025-10-25,443,32,14,12,1857.25,373.58,368693.78
2058,2026-01-12,719,63,5,11,339.69,83.67,44824.5
2064,2025-05-07,2690,75,6,12,371.84,42.59,25141.34
2071,2026-02-11,2424,55,6,12,1173.5,77.39,44741.52
2084,2025-09-01,160,9,6,11,377.98,75.16,54240.77
2108,2025-02-06,1176,35,14,12,1432.05,106.29,178029.64
2111,2025-12-29,2730,49,7,12,807.04,174.02,32303.05
2113,2025-08-06,253,4,8,5,1055.65,247.32,182688.17
2117,2025-06-07,2005,3,2,11,204.93,13.67,11360.18
2132,2025-05-03,1018,47,11,11,509.62,28.4,68155.35
2136,2025-03-22,1893,35,15,7,-163.0,16.17,11889.33
2153,2025-07-01,1177,69,9,2,1458.35,283.24,158384.3
2154,2025-08-30,1849,32,2,2,68.24,5.73,11601.17
2161,2025-02-06,2554,10,11,12,497.42,97.87,92425.0
2165,2025-08-13,577,36,3,1,980.87,95.14,189390.39
2171,2025-05-25,14,36,15,7,787.02,43.71,24744.99
2184,2025-08-03,1071,35,3,4,1329.37,315.07,153324.29
2215,2025-01-29,1145,16,10,4,844.72,42.54,131419.39
2217,2026-01-02,2213,41,15,9,1793.35,191.21,96108.85
2232,2025-05-24,1312,47,5,10,219.38,44.07,12710.05
2243,2025-11-09,2954,70,11,11,157.99,29.32,6262.35
2244,2025-06-06,1758,4,4,7,1759.11,159.27,88677.1
2255,2025-06-25,1793,26,11,1,1924.99,323.96,246553.71
2259,2025-06-15,1997,40,10,3,-1649.25,154.77,191749.44
2279,2025-01-11,1133,58,12,4,347.06,51.42,66930.23
2294,2025-01-05,201,3,5,8,1428.44,91.41,175455.19
2297,2025-11-16,528,52,7,10,366.62,35.48,16176.98
2305,2025-03-25,652,49,15,10,663.22,42.86,90767.58
2337,2025-08-14,939,5,10,1,690.86,65.54,118345.74
2343,2025-11-13,241,76,12,4,1400.27,184.79,209277.57
2346,2025-08-20,444,63,6,7,786.92,146.68,60136.83
2350,2025-08-22,479,2,7,9,556.79,74.96,97943.93
2368,2025-12-16,1115,10,14,8,476.98,83.3,78664.25
2385,2025-02-05,518,13,1,2,1935.37,389.8,40688.16
2394,2025-11-12,2198,66,15,10,1772.74,336.14,216414.91
2398,2025-05-31,1853,72,3,1,143.24,12.65,19956.82
2408,2025-10-21,771,36,5,10,1433.76,91.05,196648.66
2449,2025-07-17,319,26,7,9,412.01,92.98,80772.99
2456,2025-02-25,1757,61,4,5,1929.1,336.06,231004.25
2468,2025-07-12,1253,6,12,1,854.6,203.7,33393.55
2496,2025-09-11,162,61,4,10,1259.17,154.61,77904.1
2511,2025-07-29,1682,43,9,11,200.67,44.08,26485.37
2552,2025-05-20,904,41,15,12,1516.66,150.47,179053.33
2566,2025-01-05,816,59,7,1,1836.96,309.39,230589.2
2580,2025-10-19,927,21,7,10,630.34,114.89,47371.88
2587,2026-01-27,1603,30,13,5,1792.6,441.74,320215.67
2605,2025-05-14,1689,38,13,3,139.94,7.35,14033.01
2618,2025-10-03,1716,10,1,2,67.34,6.06,2599.13
2635,2025-05-02,429,31,5,7,659.0,153.47,84782.07
2641,2025-07-30,1664,65,1,8,487.2,59.29,82246.9
2652,2025-05-31,2524,33,11,12,653.39,115.58,55807.76
2658,2026-01-17,1799,45,7,9,1778.86,307.11,276373.38
2661,2026-01-31,2046,41,2,2,1267.47,197.35,221361.08
2679,2025-11-24,2683,74,14,5,1638.42,395.88,222861.58
2680,2025-04-03,3710,28,2,6,1280.19,229.44,48994.84
2683,2025-09-17,411,42,5,11,66.25,11.28,12899.69
2688,2025-01-31,1174,41,11,9,414.79,25.71,38317.55
2690,2025-09-15,1113,17,14,7,1764.72,438.48,329827.71
2692,2025-07-21,2001,8,13,10,614.34,39.28,59376.03
2706,2025-07-02,1735,62,8,11,1604.73,285.5,86340.91
2711,2025-11-27,807,33,10,3,1388.27,127.91,188932.31
2714,2025-04-16,812,38,11,11,422.81,41.64,60069.7
2724,2026-01-27,940,24,6,3,942.91,93.19,93519.49
2732,2025-04-25,1292,29,7,1,867.01,130.12,164699.99
2736,2025-08-31,2916,21,12,10,660.08,52.05,22403.83
2738,2025-02-11,3721,80,15,8,1405.84,149.65,159373.81
2765,2025-02-15,1449,27,2,6,1929.91,98.94,299866.8
2766,2025-06-18,1629,9,5,2,1995.92,276.03,226975.0
2778,2026-02-05,1497,30,4,11,1377.83,283.22,27599.11
2784,2025-10-23,2284,32,2,12,236.17,46.36,18551.71
2793,2025-02-28,2716,73,12,1,539.22,55.45,66540.17
2797,2026-02-11,1522,80,4,10,1093.93,156.72,207792.88
2822,2025-09-27,2767,44,7,12,-1391.96,206.45,149315.34
2836,2025-02-02,1064,28,7,5,888.0,145.35,131733.7
2838,2025-01-08,1999,75,8,12,545.79,96.54,101152.45
2893,2025-07-22,2997,77,2,8,1314.17,113.54,130116.17
2926,2025-01-05,713,46,2,6,958.81,70.1,162118.82
2931,2025-07-13,1005,75,11,1,75.38,17.68,2893.7
2932,2025-04-19,2461,5,7,11,51.68,9.37,8808.87
2954,2025-09-21,2667,15,14,1,694.14,158.53,118657.32
2958,2025-12-17,934,50,2,9,1548.62,190.73,196445.78
2960,2025-04-27,685,73,1,1,1585.79,318.31,233027.76
2967,2025-01-05,2198,46,2,2,297.8,42.57,54508.11
2981,2025-02-25,1010,73,4,5,1856.85,189.37,259330.79
2997,2025-04-10,2297,76,6,4,638.65,106.84,21808.15
3001,2025-07-03,2066,63,3,4,800.01,79.69,70012.2
3018,2025-03-19,2053,72,1,11,494.99,39.9,10154.67
3038,2025-09-08,309,47,8,8,502.75,37.5,53512.46
3041,2025-12-03,2238,59,6,11,1095.55,100.53,156740.15
3057,2025-01-29,1351,44,7,8,1540.86,127.78,66335.26
3066,2025-12-24,2007,38,6,4,915.51,55.36,141396.65
3075,2025-02-23,1907,65,10,3,879.64,94.2,26338.59
3090,2025-10-19,2811,34,7,12,250.51,33.76,29287.7
3100,2025-12-17,1070,36,15,3,1420.43,127.12,30257.1
3108,2025-08-28,2100,65,9,12,1255.55,309.67,226894.73
3110,2025-04-22,2722,37,9,1,1318.28,269.93,209554.21
3131,2025-09-14,233,9,6,6,1223.14,101.75,100887.18
3154,2025-12-26,1172,74,13,5,439.21,23.11,13710.21
3178,2025-04-11,181,20,13,3,433.64,88.35,28166.77
3181,2025-06-01,2429,59,6,2,1387.89,301.61,176677.66
3202,2025-03-04,1300,47,7,11,1710.46,241.31,262118.49
3207,2026-01-07,2476,18,9,2,1012.33,148.64,70547.54
3220,2025-11-18,2128,47,9,6,942.0,228.48,81745.52
3221,2026-01-12,2540,21,14,10,1365.94,90.86,157242.3
3227,2025-07-22,349,63,3,9,1565.17,120.8,42629.09
3228,2025-05-09,187,24,8,2,0.0,205.07,63200.35
3229,2025-05-14,160,2,12,12,461.92,84.89,90201.59
3252,2025-12-22,1175,38,13,7,1230.91,210.98,166127.45
3264,2025-10-29,903,36,10,7,220.11,49.64,20091.47
3277,2025-10-16,937,41,5,9,1237.85,236.33,29915.47
3284,2025-09-10,789,76,3,7,1658.76,209.8,322345.02
3298,2025-11-28,2231,5,1,1,1539.83,261.78,199295.4
3299,2025-04-15,1042,53,8,1,767.1,174.59,43169.15
3302,2025-03-26,2807,3,5,9,1429.32,187.3,244181.84
3303,2025-08-01,2403,72,11,4,396.6,93.07,65779.47
3331,2025-05-03,1047,11,4,6,1249.63,187.38,35164.44
3362,2025-10-06,2683,20,13,1,1259.88,67.24,27736.02
3367,2025-09-20,710,51,11,10,0.0,241.98,163333.79
3389,2025-01-01,2740,69,2,8,-1626.21,400.73,167731.7
3393,2025-12-28,1552,72,3,9,1574.38,219.28,238996.99
3407,2025-02-21,2444,73,10,8,1403.46,327.1,119815.43
3414,2025-04-06,1039,34,4,4,1891.6,460.2,324821.4
3443,2026-02-05,1745,20,1,7,1791.71,211.84,193915.09
3480,2025-12-31,3528,98,3,4,1677.36,202.65,190375.17
3483,2025-12-23,1982,36,1,12,272.99,64.68,50990.24
3503,2025-12-15,744,79,14,4,1468.12,294.3,208024.37
3524,2025-10-24,2891,34,5,8,1872.48,94.77,324411.61
3526,2025-07-14,3550,21,9,10,1340.82,219.98,168637.17
3543,2025-08-11,1190,79,5,3,87.61,19.64,8771.13
3544,2025-09-13,736,55,9,3,1911.12,395.92,158755.95
3549,2025-11-14,322,18,6,8,494.38,87.53,25003.36
3580,2026-02-05,2983,16,2,9,624.24,130.01,57020.38
3583,2026-02-18,1230,19,1,10,1092.84,137.21,180153.62
3589,2025-06-20,2217,13,2,10,662.84,62.56,62414.73
3596,2025-11-01,1848,53,5,5,453.71,30.69,22638.39
3597,2025-03-28,742,37,2,5,1829.5,117.98,214088.95
3609,2025-03-05,2304,43,11,6,201.81,336.02,20993.38
3611,2025-08-16,1010,16,5,4,150.61,32.26,30073.3
3624,2026-01-01,1722,3,13,7,542.8,130.48,36639.03
3641,2025-12-26,2721,22,8,12,943.18,211.79,164672.36
3649,2025-10-09,1272,77,14,9,886.86,55.13,77598.71
3658,2025-10-03,628,31,3,11,0.0,126.13,313310.72
3667,2025-09-14,2967,39,12,12,1734.47,323.82,107767.82
3707,2026-01-08,901,68,5,9,-274.24,31.54,6211.47
3714,2025-05-02,40,39,15,5,525.81,112.63,24720.4
3752,2025-05-03,294,15,10,8,1583.56,133.07,304546.89
3757,2025-09-10,2805,15,5,10,202.53,27.61,18433.27
3761,2025-12-01,2524,63,2,3,274.53,39.49,22917.36
3768,2025-05-11,770,1,13,1,575.36,32.32,30954.73
3790,2025-03-23,673,18,6,5,637.52,146.91,87363.25
3810,2025-08-10,3552,7,12,1,262.93,60.84,16453.05
3818,2025-03-08,1912,60,6,5,1878.24,420.05,162215.85
3821,2025-12-18,2217,50,14,12,726.25,38.91,124016.12
3827,2026-01-24,744,19,1,9,1278.57,87.31,182729.7
3828,2025-02-17,536,66,5,1,1569.26,333.87,171362.99
3838,2026-02-04,453,57,8,6,966.22,213.68,164970.33
3851,2025-11-23,313,72,6,2,1740.5,420.45,279212.72
3855,2025-05-21,1070,35,11,5,50.86,7.2,2204.66
3859,2025-07-17,1747,12,1,3,1525.84,100.92,223031.86
3862,2025-03-04,1960,7,14,11,1393.89,186.08,259479.61
3875,2025-10-03,1343,2,15,5,1969.31,416.27,342612.29
3888,2025-03-20,2206,43,12,7,687.6,111.03,21458.48
3889,2025-05-18,1720,43,1,4,345.87,66.44,59985.57
3898,2025-09-05,987,36,12,8,618.38,53.87,20572.35
3899,2025-02-25,2607,6,3,11,126.99,10.32,20362.49
3909,2025-01-13,2940,70,13,10,625.28,81.99,30103.76
3915,2025-10-18,1949,28,1,2,644.27,41.27,23958.86
3939,2025-12-29,327,42,10,7,675.49,64.54,28103.86
3942,2025-06-01,955,9,10,5,785.38,155.93,80052.41
3953,2025-03-19,1168,41,1,8,794.33,86.06,73617.04
3962,2025-10-02,202,47,11,1,141.69,27.45,28035.43
3994,2026-01-27,674,5,14,6,72.83,8.78,11850.91
3995,2025-04-29,1946,69,10,5,1678.73,281.5,286442.34
3999,2025-03-17,85,41,14,4,1331.47,316.97,239524.85
4005,2025-10-21,1622,3,9,8,1792.5,308.47,235914.45
4035,2025-05-16,504,43,4,6,643.09,98.94,34605.23
4036,2025-06-23,2253,22,1,10,522.04,62.1,37862.14
4049,2025-10-01,2775,47,1,2,560.14,86.84,57233.59
4057,2026-01-07,2413,70,6,2,294.61,38.46,43710.54
4059,2025-09-14,1054,68,7,1,0.0,113.91,141636.37
4102,2025-03-25,1797,71,1,9,1765.19,91.92,213878.48
4109,2025-06-29,1435,32,3,12,1982.49,171.03,274626.86
4112,2025-10-19,339,66,11,3,1727.58,380.02,336182.44
4115,2025-11-02,1650,43,1,2,954.73,76.47,60175.69
4117,2025-07-02,930,61,7,7,263.43,18.89,45751.81
4123,2025-04-26,9,34,15,1,951.86,67.51,105297.07
4152,2026-02-15,1986,34,5,9,1738.8,293.4,206976.23
4177,2025-09-28,2872,53,11,12,750.97,171.46,28036.76
4178,2025-04-03,1413,39,9,11,1345.16,240.9,54913.53
4179,2025-02-17,2159,60,15,12,907.04,200.31,176845.7
4181,2026-02-15,607,33,2,6,1472.34,204.76,74159.91
4185,2025-09-17,2375,52,6,8,175.18,17.99,31775.18
4189,2026-02-03,2099,32,7,8,1229.34,2077.76,49317.28
4191,2026-01-13,3733,32,5,3,1345.26,91.86,222321.43
4214,2025-04-09,1022,73,13,10,1830.51,94.55,254883.11
4225,2025-07-25,1530,65,6,6,1486.25,301.26,266496.34
4226,2025-12-10,1793,12,8,3,1505.99,182.13,140974.84
4232,2025-05-05,306,10,15,6,818.27,193.15,31242.09
4233,2025-07-01,2663,50,8,12,598.5,83.96,47312.83
4238,2025-09-15,2341,33,1,7,307.86,50.76,8645.89
4253,2025-02-06,2143,9,5,10,785.47,128.34,155308.55
4264,2026-01-12,2761,74,7,2,1370.84,1794.89,37333.58
4270,2025-01-09,619,1,1,6,410.77,48.51,67444.03
4295,2025-06-18,2462,7,5,7,1113.13,219.04,187418.48
4297,2025-12-18,2620,57,2,5,991.83,136.94,195959.79
4330,2025-03-24,1629,74,8,10,718.28,87.39,104363.8
4340,2026-02-01,1827,80,14,4,1338.97,313.77,182955.91
4351,2025-07-26,1497,45,7,3,230.68,29.09,12428.73
4381,2025-04-17,1002,15,7,5,72.08,4.35,11742.8
4383,2025-01-29,1793,73,8,8,1448.17,89.05,106229.43
4391,2025-02-12,1172,2,2,10,149.96,32.46,26632.11
4414,2026-01-30,100,12,8,10,1710.57,168.89,327486.19
4420,2025-10-10,668,8,11,2,669.7,80.42,19298.58
4442,2025-10-03,571,30,2,7,698.68,109.64,66684.93
4444,2025-05-06,186,41,4,11,1078.97,106.19,114795.75
4484,2025-03-20,1203,43,9,6,349.56,52.12,14734.65
4499,2025-11-27,2081,47,14,3,716.41,146.78,51561.67
4511,2025-07-05,2634,22,2,6,1987.19,247.2,353211.56
4525,2025-03-26,2331,16,4,11,1267.15,228.71,39592.3
4545,2025-10-04,2619,61,1,10,712.8,97.1,62766.43
4573,2025-12-19,205,36,8,12,314.51,51.71,51411.46
4586,2025-04-19,2272,62,13,10,1961.67,100.91,43185.92
4597,2026-01-22,1276,54,3,4,408.26,99.79,57669.52
4609,2025-01-29,1548,36,13,9,1648.4,131.42,92362.01
4618,2025-06-20,1047,48,15,9,908.89,137.74,49684.58
4639,2026-02-09,491,52,3,9,397.01,22.18,46185.56
4653,2025-08-25,1943,46,11,8,1468.89,84.49,87359.48
4655,2025-08-31,205,32,2,1,134.83,15.62,5429.36
4660,2026-02-04,676,73,5,11,272.15,62.83,53236.45
4672,2026-01-09,166,29,15,2,797.48,183.04,106703.16
4675,2025-02-19,1738,51,1,4,479.45,116.45,48506.08
4682,2025-02-28,948,31,12,10,313.26,41.86,35741.27
4689,2025-03-28,1703,69,5,4,257.49,359.05,17889.67
4703,2025-01-18,89,69,15,10,1653.49,178.22,286372.63
4711,2025-07-11,438,36,6,9,820.74,87.33,141608.12
4728,2025-06-23,1985,27,11,7,1677.71,99.76,263335.65
4731,2026-01-14,2338,80,11,6,828.07,206.4,78217.76
4737,2025-03-21,382,63,12,11,360.74,69.1,9554.15
4745,2025-10-31,17,10,12,10,1962.36,127.07,331832.67
4747,2025-08-23,1130,50,6,10,221.56,49.46,8140.11
4752,2025-09-30,511,47,12,3,1000.38,181.79,166529.54
4769,2025-09-18,1600,38,15,12,91.84,18.85,5351.24
4777,2025-11-23,2701,63,3,6,571.27,95.07,90339.84
4788,2026-01-10,1980,43,8,6,327.85,65.22,13081.23
4789,2025-04-23,784,55,8,4,1459.64,128.13,49174.92
4795,2025-03-27,2264,1,11,5,434.91,86.97,84670.06
4815,2025-03-07,1892,4,8,10,706.93,168.16,35279.73
4832,2025-02-28,2813,17,9,6,1349.57,279.61,203754.28
4837,2025-01-16,2350,9,2,8,1992.67,421.71,260803.77
4841,2025-12-20,432,46,15,8,257.42,54.36,29188.9
4843,2025-09-29,1339,15,9,9,733.98,64.24,65329.87
4850,2025-07-17,482,9,1,7,1464.89,173.38,200070.49
4869,2025-01-18,2049,37,15,7,1102.71,110.78,50814.71
4870,2025-07-15,2782,34,11,12,406.03,34.63,61680.9
4873,2026-01-12,1987,32,6,10,752.44,38.98,52485.24
4882,2025-02-08,1771,13,7,7,163.9,36.13,21008.78
4889,2025-11-10,2805,80,9,2,1026.52,155.17,66073.89
4894,2025-10-27,1531,52,2,6,205.05,35.24,6577.21
4909,2026-01-08,2747,67,13,9,411.72,67.37,73299.25
4932,2025-08-30,1616,6,7,7,420.95,86.88,28026.36
4941,2025-08-28,1941,40,2,5,1667.22,83.77,82589.93
4966,2025-04-19,1114,12,4,1,899.89,83.88,142753.97
4972,2025-07-27,349,44,5,7,302.27,46.33,24409.2
4974,2025-09-15,2851,51,5,11,1345.42,273.31,73654.63
4984,2025-02-19,1480,3,5,2,864.44,66.73,111635.65
