id_siniestro,id_poliza,fecha_siniestro,monto_siniestro,estado
366,5844,2025-02-02,11212.65,Cerrado
367,942,2025-07-05,1374.6,Abierto
371,20612,2025-02-12,5087.67,Cerrado
376,18210,2025-04-21,13180.58,No especificado
384,16998,2025-09-17,8268.6,Cerrado
387,7121,2025-03-16,101.74,No especificado
394,7220,2025-07-25,6657.59,No especificado
395,990,2025-06-11,924.16,Abierto
400,6936,2025-08-02,8411.6,No especificado
402,22663,2025-04-29,11363.64,No especificado
412,1661,2025-05-01,12937.82,Abierto
414,1039,2025-11-28,6928.26,No especificado
419,11189,2025-07-19,6286.41,Cerrado
429,10083,2025-08-08,4186.36,No especificado
443,11757,2025-06-27,7553.76,No especificado
447,24783,2025-05-16,3775.66,No especificado
452,1835,2025-04-14,6449.29,No especificado
453,14614,2025-12-10,5081.75,No especificado
469,10808,2025-12-30,3705.92,No especificado
471,2155,2025-01-12,5220.04,Abierto
473,6110,2025-02-02,14439.69,Rechazado
482,18388,2025-11-03,2624.1,Cerrado
487,21900,2025-11-02,14449.32,Abierto
492,5514,2025-07-05,13335.48,Cerrado
493,12637,2025-01-24,13814.68,No especificado
494,4271,2025-09-12,11207.5,Cerrado
499,4303,2026-02-03,6686.39,Abierto
502,8758,2026-01-02,7272.53,Abierto
516,18551,2025-03-01,3577.31,No especificado
523,2414,2025-08-10,13565.6,Abierto
530,19258,2025-10-10,14448.22,Abierto
538,16568,2026-02-21,800.55,Cerrado
542,13402,2025-02-07,6580.87,No especificado
555,17858,2025-01-16,13960.18,Cerrado
563,18040,2025-08-03,7778.11,Rechazado
569,13976,2025-12-08,11416.44,No especificado
572,8028,2026-02-06,1046.73,Cerrado
578,5441,2025-05-05,6542.3,Cerrado
579,6238,2025-06-25,-676.22,Rechazado
582,11973,2025-11-27,681.75,Abierto
602,11450,2025-07-10,5353.0,No especificado
606,9853,2025-08-13,13270.26,No especificado
614,9264,2025-09-09,1692.12,Abierto
620,17258,2025-10-14,2924.44,Cerrado
630,1708,2026-02-13,11486.29,No especificado
632,14193,2025-08-21,2506.71,No especificado
642,6639,2026-01-27,6072.88,Abierto
654,19098,2025-01-28,11940.83,No especificado
655,14468,2025-06-25,4379.27,Abierto
656,7208,2025-11-03,10346.31,No especificado
670,25645,2025-07-26,5730.79,Abierto
679,777,2025-01-27,5565.28,No especificado
680,7570,2025-12-28,12621.97,Cerrado
692,7865,2025-05-17,7245.23,Abierto
695,21466,2025-11-28,3201.99,No especificado
700,19484,2025-03-01,5388.51,No especificado
703,6331,2025-02-10,2355.04,No especificado
705,13150,2025-11-12,11601.83,Rechazado
713,20970,2025-07-21,2303.55,Cerrado
714,5994,2025-04-26,10205.69,Cerrado
716,12752,2025-09-16,118.87,No especificado
719,15868,2025-12-25,1394.24,Cerrado
731,22473,2025-11-12,3126.48,Cerrado
733,16099,2025-08-10,12090.96,Abierto
736,1668,2025-08-27,1066.12,Cerrado
747,2468,2025-07-01,10010.05,Rechazado
752,3750,2025-10-01,12176.52,No especificado
759,8302,2025-09-19,3052.94,No especificado
761,97,2025-03-08,12403.25,Rechazado
764,9791,2025-10-15,5691.21,Cerrado
787,15672,2025-05-24,3901.09,Cerrado
791,786,2025-11-14,11956.55,No especificado
794,6939,2025-11-16,3297.63,Rechazado
795,18424,2025-03-15,7565.56,Cerrado
798,9464,2025-07-11,-9622.54,Cerrado
801,10815,2025-10-11,14958.46,Abierto
805,14256,2025-07-04,3088.12,Cerrado
807,22910,2025-07-30,13637.84,Rechazado
816,22324,2025-02-14,10355.24,No especificado
822,3042,2025-10-18,11626.56,Abierto
829,17197,2025-12-12,6676.28,No especificado
831,9957,2025-12-03,8993.77,Rechazado
832,3475,2025-12-22,9461.23,Rechazado
854,7708,2026-02-11,-14084.73,No especificado
876,20967,2025-08-19,1786.91,No especificado
881,1160,2025-02-13,14837.14,Cerrado
883,8904,2025-04-27,6133.42,Cerrado
888,13722,2025-07-11,698.38,No especificado
895,19216,2026-01-14,7478.23,Abierto
901,9443,2025-04-08,9973.45,Rechazado
902,6042,2026-02-19,2072.73,No especificado
916,21501,2025-11-06,13527.3,Abierto
917,6888,2025-01-05,12592.6,No especificado
924,4758,2025-11-09,-1173.6,No especificado
928,19642,2025-10-14,3641.04,Rechazado
930,19882,2026-01-17,7930.85,No especificado
933,21679,2025-07-02,8414.42,No especificado
939,22950,2025-09-14,10651.65,No especificado
940,14722,2025-07-26,12050.35,Abierto
948,25579,2026-02-15,2845.66,Abierto
949,6109,2025-07-01,1755.99,Abierto
967,1199,2025-03-20,13030.52,Cerrado
975,21736,2025-08-23,12466.51,No especificado
978,22436,2025-03-26,8311.65,Abierto
990,5952,2025-05-04,-12460.96,Cerrado
1006,13101,2025-11-17,8980.27,No especificado
1024,16567,2025-08-25,5252.85,Cerrado
1029,7880,2025-01-23,6128.39,Abierto
1030,24881,2026-01-04,427.88,No especificado
1034,2399,2025-01-20,6493.63,Rechazado
1040,20928,2025-11-20,13560.16,Rechazado
1048,649,2025-01-26,7422.33,Cerrado
1049,6326,2025-09-27,12496.34,Cerrado
1058,19074,2025-02-20,10412.27,Cerrado
1069,3723,2025-02-01,1091.83,Rechazado
1072,24530,2025-01-08,2521.52,Cerrado
1073,8355,2025-01-22,13989.65,Cerrado
1075,14674,2025-06-01,5148.29,Cerrado
1080,14736,2025-11-28,3743.04,Rechazado
1083,1337,2025-06-22,224.42,Cerrado
1090,23591,2026-02-20,8369.37,Cerrado
1095,16132,2025-12-21,13687.41,Cerrado
1097,8950,2025-02-11,4937.18,No especificado
1099,8554,2025-07-24,13054.94,Cerrado
1100,21437,2025-03-09,4353.92,Cerrado
1101,14604,2025-01-01,9132.38,Abierto
1104,23259,2025-01-20,5724.16,Cerrado
1107,13130,2025-07-13,7120.85,Cerrado
1137,1806,2025-09-09,9584.18,Abierto
1138,17240,2025-08-08,1170.01,Cerrado
1143,3121,2025-03-12,4454.47,Cerrado
1148,1940,2025-06-10,13283.55,Cerrado
1153,14250,2025-01-26,12636.25,No especificado
1160,1948,2026-01-23,9201.13,No especificado
1183,5467,2026-01-28,10477.86,Abierto
1192,8295,2025-06-15,6741.92,Rechazado
1193,4216,2025-10-06,8502.18,Rechazado
1203,20049,2025-04-15,10830.41,Abierto
1216,19985,2025-07-06,11207.21,Rechazado
1232,13777,2025-05-28,14407.87,Cerrado
1237,19508,2025-12-02,9713.0,Abierto
1247,16943,2026-01-20,13951.22,No especificado
1251,5220,2025-02-20,10460.04,No especificado
1259,3187,2025-08-27,9532.1,Rechazado
1266,9636,2025-09-06,7815.71,Cerrado
1274,22013,2025-03-27,8107.44,Abierto
1286,18053,2025-11-29,4299.28,Abierto
1288,4829,2025-06-13,221.47,Abierto
1289,17008,2025-06-04,2030.56,Abierto
1292,11117,2025-03-24,11272.92,Abierto
1305,22650,2025-04-12,3885.68,Abierto
1313,10802,2025-09-26,10183.67,Rechazado
1329,19205,2025-09-18,13096.57,No especificado
1332,3566,2026-01-09,6194.88,No especificado
1340,11500,2025-04-18,442.62,Cerrado
1348,5073,2025-06-18,6507.63,Abierto
1360,15434,2025-07-29,4937.06,Abierto
1377,8960,2025-03-28,364.6,No especificado
1383,22773,2025-01-21,11356.07,Cerrado
1385,9473,2025-10-23,1961.73,Cerrado
1392,10245,2025-10-10,13014.49,Abierto
1397,23636,2025-02-19,252.58,Abierto
1402,13617,2025-04-22,2604.92,Abierto
1412,25836,2025-06-03,2588.64,Cerrado
1418,13727,2025-01-15,11467.88,No especificado
1432,18937,2025-07-05,4516.8,Rechazado
1438,9756,2026-01-29,14517.39,No especificado
1440,25659,2025-08-23,13715.45,Rechazado
1448,19000,2025-09-29,1360.72,Rechazado
1449,6946,2025-03-28,11267.8,Abierto
1452,1559,2026-01-01,4642.79,Cerrado
1465,16903,2025-10-13,5932.82,Abierto
1468,15318,2025-04-18,14275.89,Abierto
1474,7678,2025-04-24,2107.21,Cerrado
1480,10246,2026-01-10,3505.6,Cerrado
1484,10128,2026-01-19,4575.3,Abierto
1495,22639,2025-09-06,1953.69,Cerrado
1497,4852,2025-03-02,12375.98,No especificado
1501,20221,2025-08-10,14105.12,Abierto
1503,582,2025-10-22,6460.87,Abierto
1504,34,2026-01-27,14397.53,Rechazado
1505,10002,2025-08-31,9031.72,Cerrado
1506,3340,2025-07-18,4108.93,Abierto
1518,5846,2025-05-27,1332.3,Cerrado
1524,18949,2025-09-07,332.33,Abierto
1527,10146,2025-09-11,6683.03,Abierto
1539,9993,2025-12-22,9987.17,Abierto
1553,10951,2025-10-17,5821.56,No especificado
1554,22479,2025-10-02,9268.93,Abierto
1564,14006,2025-01-11,9999.18,No especificado
1567,18204,2025-04-22,11871.79,Abierto
1569,12496,2026-02-16,12429.33,Abierto
1575,9263,2026-02-08,6311.4,Cerrado
1580,10293,2025-01-26,14216.09,Cerrado
1587,10505,2025-05-01,1657.92,Rechazado
1588,23950,2025-08-03,7565.75,No especificado
1608,14576,2025-11-30,13290.94,Cerrado
1613,15390,2025-11-14,10831.47,No especificado
1616,7629,2025-11-11,10134.99,Abierto
1618,9849,2025-02-05,7766.02,Abierto
1621,13030,2025-08-25,4112.75,Cerrado
1623,5518,2025-07-04,1460.99,Abierto
1626,18422,2025-03-05,7822.31,Rechazado
1638,8983,2025-04-24,12252.52,No especificado
1645,3536,2025-11-10,3230.94,Rechazado
1647,919,2025-09-28,13191.68,Cerrado
1659,22196,2026-01-06,1793.52,Abierto
1671,4836,2025-01-06,8522.03,Rechazado
1681,7490,2025-10-28,8987.56,Cerrado
1700,16612,2025-02-20,11110.58,No especificado
1702,17739,2025-04-08,7793.82,Cerrado
1703,24825,2025-02-17,10644.08,No especificado
1715,23524,2025-02-05,2104.56,Abierto
1718,8766,2026-01-27,7189.85,No especificado
1724,9172,2026-02-13,532.22,Cerrado
1725,7908,2025-03-27,13653.09,Abierto
1733,6940,2025-01-30,11707.13,Abierto
1735,9415,2025-01-01,2671.25,Abierto
1739,5609,2025-06-04,12337.1,Cerrado
1740,2237,2025-06-28,7841.66,Rechazado
1741,25650,2025-06-28,7286.2,Abierto
1744,24671,2026-01-13,7365.8,Cerrado
1747,11770,2025-05-25,9805.25,No especificado
1756,11179,2025-08-12,7984.57,Cerrado
1760,24629,2025-06-10,10191.94,Cerrado
1767,5702,2025-02-02,8103.3,No especificado
1772,17743,2026-02-05,14678.53,Abierto
1788,3689,2025-11-11,9448.36,No especificado
1793,154,2026-01-12,6325.81,No especificado
1797,19532,2025-03-17,8804.05,Rechazado
1798,2825,2025-07-27,9848.17,Rechazado
1799,8003,2025-11-05,8586.97,Abierto
1804,537,2025-06-19,7883.57,No especificado
1807,15926,2025-07-19,3612.27,Cerrado
1812,7113,2025-04-20,10111.45,No especificado
1813,21707,2025-07-08,6974.08,Cerrado
1860,5264,2025-07-20,1160.84,Cerrado
1864,15391,2025-06-08,3382.32,Cerrado
1879,14279,2025-01-22,8357.44,Rechazado
1893,18563,2025-10-09,11684.16,Rechazado
1897,9593,2025-06-30,-7911.77,Cerrado
1909,11885,2025-11-26,13989.03,No especificado
1911,5565,2025-10-02,6645.66,Cerrado
1918,1757,2025-05-31,12031.73,Abierto
1920,2147,2025-05-01,9470.81,Abierto
1924,12548,2025-02-14,8119.76,Cerrado
1929,21325,2025-06-06,3395.35,Abierto
1934,8622,2025-09-02,7415.47,Cerrado
1942,16781,2025-04-12,4068.51,Cerrado
1945,17433,2025-07-12,1602.87,Rechazado
1949,24265,2026-02-14,1744.78,No especificado
1953,25846,2025-12-20,817.11,No especificado
1960,7060,2026-02-09,2478.99,Cerrado
1972,18246,2025-11-10,10681.55,No especificado
1987,24279,2025-12-25,12141.05,Cerrado
1990,18160,2025-11-16,7007.9,Cerrado
1997,21701,2025-09-07,3279.91,Abierto
1999,19698,2025-09-13,12753.04,Cerrado
2001,15777,2025-12-31,8711.64,No especificado
2015,966,2025-07-18,4633.19,No especificado
2021,8496,2025-04-11,10438.48,Abierto
2023,6099,2025-05-02,11576.41,Rechazado
2029,506,2025-08-16,12607.91,Abierto
2031,24413,2025-03-04,14504.39,Cerrado
2035,8993,2025-09-29,6241.75,Abierto
2048,15861,2025-02-17,5012.13,Cerrado
2049,5260,2026-02-02,2951.18,Abierto
2050,2889,2025-11-20,12798.94,No especificado
2054,22619,2025-08-09,10098.24,Abierto
2064,4006,2025-10-19,6130.56,Abierto
2078,15511,2026-01-25,4027.17,No especificado
2085,8290,2025-08-03,2917.9,Cerrado
2086,13810,2025-07-31,13203.88,Abierto
2088,2488,2025-08-14,9104.12,No especificado
2101,24844,2025-06-19,1412.2,Rechazado
2104,16856,2026-02-11,4766.37,Cerrado
2109,23109,2025-02-01,10971.03,Rechazado
2111,21573,2025-07-01,2992.6,Cerrado
2113,19687,2025-11-11,9909.82,No especificado
2127,13382,2025-08-01,14897.7,Rechazado
2129,15817,2025-11-24,1554.97,No especificado
2149,20041,2025-10-25,11837.0,Cerrado
2158,6626,2025-11-26,3317.82,Rechazado
2174,22616,2025-06-16,6605.23,Rechazado
2176,14177,2025-02-04,7436.09,Rechazado
2179,13879,2025-11-01,7165.5,Cerrado
2180,14228,2025-02-16,8440.65,Cerrado
2181,13324,2025-10-15,10971.72,No especificado
2189,8604,2025-12-20,6396.32,No especificado
2197,11018,2025-09-30,6670.45,Rechazado
2206,12030,2026-02-05,2191.9,Cerrado
2208,20662,2025-03-07,5471.24,Abierto
2209,15719,2025-12-19,9523.17,Rechazado
2212,3860,2025-06-10,5796.52,Abierto
2214,25517,2025-10-02,2615.55,Abierto
2222,24471,2025-11-06,13877.87,Rechazado
2226,13433,2025-09-27,7919.17,No especificado
2232,22770,2025-03-10,8286.57,No especificado
2239,15667,2025-01-16,6228.34,Abierto
2242,479,2025-05-03,517.9,Rechazado
2245,8411,2026-01-29,1688.98,Rechazado
2247,12378,2025-06-24,6324.65,No especificado
2256,12348,2025-01-21,5044.3,Abierto
2257,1205,2025-11-08,14848.25,Abierto
2261,8965,2025-08-07,2877.21,No especificado
2262,25816,2025-01-18,8126.29,Cerrado
2266,6143,2026-02-09,4990.08,Rechazado
2276,1685,2026-01-09,10408.01,Cerrado
2279,16860,2026-01-14,14390.09,Cerrado
2289,4941,2025-04-23,12277.29,Abierto
2291,23311,2025-04-13,8387.68,Cerrado
2298,17235,2025-02-26,13251.43,Abierto
2304,21139,2025-06-23,9986.27,Abierto
2307,24379,2025-11-29,13220.01,Rechazado
2313,5220,2025-06-16,12564.16,No especificado
2326,8023,2025-10-22,12379.63,Cerrado
2330,14245,2025-07-14,12207.9,Cerrado
2331,1474,2025-03-15,13036.46,No especificado
2334,9210,2025-03-22,8403.81,No especificado
2335,7650,2025-07-06,13997.84,Cerrado
2340,4879,2025-12-15,269.78,Rechazado
2341,4441,2025-04-08,11469.13,Cerrado
2355,7609,2025-05-31,13465.17,Abierto
2358,1622,2026-02-01,363.03,No especificado
2361,18633,2025-10-30,6979.7,No especificado
2371,17364,2025-04-01,2937.9,Cerrado
2374,12368,2026-01-13,7439.8,Abierto
2375,18434,2025-03-30,12441.43,Cerrado
2384,9924,2025-12-19,11310.24,No especificado
2400,22636,2025-07-15,2337.9,Rechazado
2401,10658,2025-08-12,4694.99,Abierto
2403,23349,2025-11-05,10238.65,Rechazado
2405,23285,2025-08-22,12363.98,Abierto
2417,8645,2025-10-25,13797.5,Cerrado
2420,3033,2026-02-19,5493.68,Abierto
2424,22274,2025-03-28,6628.03,No especificado
2428,5206,2025-02-08,5634.12,No especificado
2431,24626,2025-03-04,12215.39,Cerrado
2433,10752,2025-10-05,5360.13,Abierto
2437,18266,2025-04-11,9858.65,Abierto
2444,449,2025-07-19,8903.7,Cerrado
2445,23615,2025-07-06,9415.52,No especificado
2453,25762,2025-12-16,12799.54,No especificado
2465,22578,2025-12-16,10105.3,Cerrado
2466,2564,2026-01-11,14850.5,Cerrado
2475,18225,2025-02-01,12121.54,Rechazado
2478,20424,2025-07-23,13068.92,Cerrado
2492,18987,2025-05-12,11764.91,Abierto
2498,9901,2025-06-12,3440.17,Abierto
2502,14352,2025-12-18,3503.37,Cerrado
2509,4641,2025-11-25,8292.88,Cerrado
2540,4243,2025-06-29,6832.04,Cerrado
2544,24281,2026-02-17,14753.58,No especificado
2553,7641,2025-03-07,5771.47,No especificado
2554,1172,2026-01-09,3379.85,No especificado
2561,10340,2025-02-26,388.85,No especificado
2562,10507,2025-02-21,13259.68,No especificado
2572,4226,2025-04-02,13236.79,Cerrado
2575,23247,2025-07-18,4025.27,Abierto
2577,10627,2025-06-26,3251.74,Cerrado
2579,19119,2025-06-22,14492.69,Cerrado
2597,8351,2025-09-27,12048.48,Rechazado
2598,19801,2025-03-14,4091.47,Cerrado
2610,9737,2026-02-16,8258.01,Cerrado
2612,25620,2025-10-21,11696.58,Rechazado
2624,22054,2025-05-19,10721.43,Abierto
2628,4052,2025-03-13,4170.28,Abierto
2632,11803,2025-12-03,10070.49,Rechazado
2641,6887,2026-02-09,1319.53,No especificado
2649,3613,2025-04-29,3354.36,Abierto
2652,19024,2025-11-16,856.85,Abierto
2660,12566,2025-09-13,13602.54,No especificado
2677,625,2025-09-25,4446.55,Abierto
2678,4753,2025-06-15,7149.11,Abierto
2679,11002,2025-01-06,2105.53,Cerrado
2692,3353,2025-06-30,11807.34,Abierto
2694,19317,2025-11-06,3930.38,No especificado
2706,22303,2025-07-11,10234.92,Cerrado
2716,1696,2025-07-28,11568.99,Abierto
2723,17702,2025-03-01,12358.03,No especificado
2725,16505,2025-12-14,13609.35,Abierto
2729,11778,2025-07-26,9384.96,No especificado
2751,4497,2025-05-25,12310.45,Cerrado
2754,11729,2025-09-29,2565.88,Cerrado
2761,10655,2025-02-10,681.11,No especificado
2766,3047,2025-12-12,2893.28,No especificado
2771,4647,2025-12-18,1323.37,Rechazado
2786,19226,2025-08-04,9413.66,No especificado
2791,11226,2025-08-27,13590.35,No especificado
2794,25862,2025-07-24,768.89,No especificado
2795,23341,2025-04-05,583.63,No especificado
2805,2718,2025-09-21,12803.79,No especificado
2806,17943,2025-04-26,2548.62,Abierto
2830,19585,2025-08-31,1885.38,Cerrado
2843,2130,2025-11-22,3436.86,Rechazado
2847,6362,2025-12-07,6323.92,Abierto
2848,25779,2025-08-08,3942.98,Rechazado
2851,8861,2025-09-16,13669.55,Abierto
2860,1119,2025-09-29,1934.58,Abierto
2862,7748,2025-09-21,3347.82,Cerrado
2872,18128,2025-01-07,12508.44,No especificado
2873,6575,2025-06-22,7805.5,Abierto
2877,13349,2025-04-17,-1208.59,Cerrado
2881,5503,2025-03-27,7097.28,Cerrado
2890,2339,2025-09-10,8770.42,Cerrado
2899,16523,2026-02-09,2978.67,No especificado
2910,24779,2025-07-13,12385.96,No especificado
2914,13403,2025-03-26,9714.28,Rechazado
2932,8501,2026-02-02,11683.33,Abierto
2936,2541,2025-08-04,6609.55,Cerrado
2942,7193,2026-01-04,10099.47,Abierto
2947,16870,2025-08-30,5115.76,Cerrado
2948,25676,2026-01-06,2758.76,Abierto
2949,192,2025-09-03,9990.73,No especificado
2958,11431,2025-02-27,12342.69,Abierto
2962,1306,2025-12-12,14413.99,Abierto
2964,20729,2025-12-14,1073.69,Rechazado
2968,12834,2025-09-14,7644.09,No especificado
2971,21475,2025-06-05,1534.32,No especificado
2975,20707,2025-12-03,14143.34,No especificado
2976,19709,2025-02-09,7213.36,Abierto
2980,7043,2025-11-19,3187.51,Abierto
2982,17721,2025-11-25,2800.19,No especificado
2983,6014,2025-07-28,3339.49,No especificado
2991,9470,2025-11-22,7554.35,Rechazado
2997,1941,2025-11-22,6589.31,No especificado
3001,25803,2026-01-18,2707.84,Cerrado
3011,5869,2025-11-13,13506.53,Cerrado
3014,24880,2026-01-30,5705.62,Cerrado
3021,11613,2025-05-12,14274.09,Rechazado
3028,18198,2026-01-23,10024.29,Cerrado
3032,12895,2025-01-09,12339.98,Abierto
3045,11399,2025-03-21,2894.12,Abierto
3053,4322,2025-07-19,5305.78,No especificado
3059,4966,2025-05-18,14024.39,Cerrado
3060,23020,2025-01-11,4424.25,Cerrado
3072,24385,2025-02-16,12435.02,Rechazado
3079,19314,2025-06-19,184.15,No especificado
3083,16985,2025-09-12,9236.08,Cerrado
3093,21654,2025-10-02,4278.0,No especificado
3096,12359,2025-06-01,12141.5,No especificado
3102,6620,2025-08-10,3096.81,Rechazado
3111,277,2025-06-15,611.79,No especificado
3117,13314,2025-10-01,1762.34,Abierto
3131,8256,2025-01-02,2611.45,Abierto
3133,21555,2026-01-13,7140.96,Abierto
3139,24013,2025-06-17,12371.67,Cerrado
3144,19326,2025-03-12,14158.42,Cerrado
3146,8251,2025-05-21,436.98,Abierto
3149,13249,2025-02-18,12350.46,Abierto
3151,25746,2025-10-12,3865.34,Abierto
3154,4309,2025-07-29,11031.29,Abierto
3164,18377,2025-05-06,12243.27,Cerrado
3170,13957,2025-06-13,11098.48,Abierto
3196,24631,2026-02-13,14526.12,Cerrado
3209,13709,2025-09-19,12802.75,No especificado
3226,11063,2025-12-21,13861.45,Abierto
3232,21792,2025-02-05,3838.13,No especificado
3234,17375,2025-05-21,1711.99,Abierto
3237,12586,2025-03-11,12532.65,Abierto
3247,19372,2025-09-15,12859.86,No especificado
3264,175,2025-07-02,10332.45,No especificado
3267,747,2025-05-22,10037.27,Cerrado
3268,15504,2025-06-21,8455.66,No especificado
3271,6023,2026-01-02,5263.68,No especificado
3295,12362,2025-07-04,11017.75,No especificado
3296,5852,2025-02-27,9266.44,Rechazado
3298,1075,2025-06-16,11128.73,Abierto
3301,20986,2025-11-20,12549.43,Abierto
3308,22550,2025-07-30,3580.96,No especificado
3313,9552,2025-01-24,11382.25,Abierto
3316,18277,2025-06-06,6942.92,No especificado
3322,5414,2025-05-24,7264.93,No especificado
3323,13680,2025-03-09,4085.16,Cerrado
3326,993,2025-04-20,3848.98,No especificado
3330,14282,2025-04-27,11056.95,Abierto
3333,1087,2026-01-01,13560.19,Cerrado
3337,4006,2025-05-23,3075.77,Cerrado
3340,5499,2025-06-27,11180.88,Cerrado
3342,1654,2025-04-14,7089.23,No especificado
3354,15904,2026-01-19,2286.99,Cerrado
3355,21609,2025-04-05,1783.05,No especificado
3358,17284,2025-05-23,11598.53,Rechazado
3362,1824,2026-02-03,14979.04,Abierto
3363,6336,2025-05-01,1573.13,Abierto
3366,23219,2025-09-23,2033.49,No especificado
3376,17254,2025-06-22,7643.96,No especificado
3377,12590,2025-12-16,8461.62,Cerrado
3378,219,2025-02-04,5224.5,Abierto
3386,16097,2025-02-24,10189.44,Abierto
3401,6258,2025-01-30,7535.85,Cerrado
3407,13551,2025-12-01,3357.95,Rechazado
3430,19138,2025-09-21,2241.48,Abierto
3436,1639,2025-12-16,4043.53,Cerrado
3440,799,2025-05-12,5247.04,Cerrado
3445,20056,2025-11-21,5790.01,Cerrado
3450,1216,2025-01-09,9755.97,Cerrado
3452,6028,2025-11-15,14266.22,No especificado
3456,3056,2025-04-03,1495.79,No especificado
3463,17488,2025-07-21,4056.52,Abierto
3471,4402,2026-01-04,14270.74,Abierto
3475,24644,2025-02-15,441.68,No especificado
3477,12438,2025-05-26,14790.51,Cerrado
3482,10984,2025-10-05,4761.32,No especificado
3485,16014,2025-01-03,3806.25,No especificado
3493,5046,2025-07-07,3643.09,No especificado
3510,25,2025-08-10,13009.48,No especificado
3514,19259,2025-04-01,4317.47,Cerrado
3516,8983,2026-01-31,13558.2,No especificado
3523,1289,2025-04-22,7502.64,Rechazado
3528,4913,2025-04-05,10175.11,Cerrado
3537,24015,2025-11-02,10150.84,No especificado
3539,25648,2025-12-24,8540.58,No especificado
3548,24472,2026-02-24,7707.3,Abierto
3558,5085,2025-05-25,11193.09,Rechazado
3561,5797,2025-10-31,2837.08,Rechazado
3575,11023,2025-09-05,1693.18,Abierto
3578,14372,2025-12-11,3463.15,Rechazado
3581,7901,2025-08-05,12435.99,Rechazado
3588,14560,2025-05-11,514.33,No especificado
3609,13609,2026-02-21,14127.62,Abierto
3612,8872,2025-03-22,141.84,Cerrado
3616,2756,2025-09-09,6850.93,Abierto
3617,18681,2025-01-05,6757.93,Cerrado
3624,10481,2025-07-05,406.59,Cerrado
3626,8247,2025-05-26,10232.98,No especificado
3635,16727,2026-02-23,14561.0,Cerrado
3640,828,2025-08-17,14994.75,No especificado
3641,6716,2025-08-21,585.42,No especificado
3658,24499,2025-08-30,8051.72,Cerrado
3662,24948,2025-11-13,5252.17,Cerrado
3668,2264,2025-04-15,14715.38,Cerrado
3674,14363,2025-12-01,8756.27,No especificado
3676,10873,2025-10-04,13553.17,Cerrado
3678,17715,2025-05-05,1531.95,Rechazado
3681,18028,2025-12-19,2789.36,Cerrado
3684,12106,2025-09-23,9742.07,No especificado
3685,5880,2025-05-30,10119.08,Cerrado
3687,12631,2025-04-16,11965.15,Rechazado
3694,12285,2025-07-19,6968.87,Abierto
3695,24626,2025-11-03,6461.97,Abierto
3697,70,2025-10-18,3056.8,Abierto
3703,6532,2025-03-03,6785.04,Abierto
3705,17890,2025-08-29,10237.99,Abierto
3707,11678,2025-11-12,11148.34,Cerrado
3708,3667,2025-01-27,10642.16,Cerrado
3717,14892,2026-01-25,700.31,Cerrado
3729,12049,2025-04-27,992.62,Abierto
